Groups:
Group =, ADC_A12, ADC_A11, ADC_A10, ADC_A9, ADC_A8, ADC_A7, ADC_A6, ADC_A5, ADC_A4, ADC_A3, ADC_A2, ADC_A1,  binary

Data:
time unit: us, Group, ADC_A12, ADC_A11, ADC_A10, ADC_A9, ADC_A8, ADC_A7, ADC_A6, ADC_A5, ADC_A4, ADC_A3, ADC_A2, ADC_A1, 
0, XXXXXXXXXXXX, X, X, X, X, X, X, X, X, X, X, X, X, 
1, 011111000111, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 
2, 011110111111, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 
3, 011111100011, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 
4, 011110110100, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 
5, 011111001110, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 
6, 011111010100, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 
7, 011111000100, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 
8, 011111011100, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 
9, 011111011010, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 
10, 011111111000, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 
11, 011111101000, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 
12, 011111111010, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 
13, 100000000000, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
14, 100000000111, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 
15, 100000000100, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 
16, 100000001011, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 
17, 011111111110, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 
18, 011111111011, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 
19, 011111101101, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 
20, 011111000111, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 
21, 011101111000, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 
22, 011110001010, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 
23, 011101011001, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 
24, 011100101001, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 
25, 011100000000, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 
26, 011010110100, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 
27, 011010111000, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 
28, 011001111100, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 
29, 011001100101, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 
30, 011001010011, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 
31, 011000101111, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 
32, 011000111111, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 
33, 011000011011, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 
34, 011000101100, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 
35, 011001001011, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 
36, 011000111110, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 
37, 011010000001, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 
38, 011010000101, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 
39, 011010100101, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 
40, 011011100011, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 
41, 011011100111, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 
42, 011100010010, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 
43, 011101000011, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 
44, 011101011100, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 
45, 011110001000, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 
46, 011110011100, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 
47, 011111001001, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 
48, 011111011111, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 
49, 011111110001, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 
50, 100000001010, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 
51, 011111111111, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
52, 100000101011, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 
53, 100000011110, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 
54, 100000100111, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 
55, 100000111110, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 
56, 100000100110, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 
57, 100000111001, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 
58, 100000100100, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 
59, 100000101010, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 
60, 100001000011, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 
61, 100000010010, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 
62, 100001001001, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 
63, 100000101010, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 
64, 100000100111, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 
65, 100001001100, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 
66, 100000111000, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 
67, 100001000111, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 
68, 100001100111, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 
69, 100001011111, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 
70, 100001110011, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 
71, 100010000111, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 
72, 100010001000, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 
73, 100010100110, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 
74, 100010101010, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 
75, 100010110101, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 
76, 100011001001, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 
77, 100011010101, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 
78, 100011011100, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 
79, 100011001110, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 
80, 100011100100, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 
81, 100011101011, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 
82, 100011111101, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 
83, 100011111000, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 
84, 100011101101, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 
85, 100011110011, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 
86, 100100001001, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 
87, 100100100101, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 
88, 100100111110, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 
89, 100101001011, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 
90, 100101100010, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 
91, 100101100100, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 
92, 100101011101, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 
93, 100101011011, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 
94, 100100100001, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 
95, 100100000111, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 
96, 100011110100, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 
97, 100011000011, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 
98, 100010101111, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 
99, 100010010111, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 
100, 100010001001, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 
101, 100001110110, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 
102, 100001011001, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 
103, 100001000111, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 
104, 100000111100, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 
105, 100000010110, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 
106, 100000000101, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 
