in s,C2 in V
-1.187504E-04,1.06570E+01
-1.187496E-04,1.12430E+01
-1.187488E-04,1.08523E+01
-1.187480E-04,1.16336E+01
-1.187472E-04,1.18289E+01
-1.187464E-04,1.18289E+01
-1.187456E-04,1.20242E+01
-1.187448E-04,1.18289E+01
-1.187440E-04,1.22195E+01
-1.187432E-04,1.24148E+01
-1.187424E-04,1.10477E+01
-1.187416E-04,1.24148E+01
-1.187408E-04,1.12430E+01
-1.187400E-04,1.20242E+01
-1.187392E-04,1.16336E+01
-1.187384E-04,1.20242E+01
-1.187376E-04,1.22195E+01
-1.187368E-04,1.22195E+01
-1.187360E-04,1.24148E+01
-1.187352E-04,1.20242E+01
-1.187344E-04,1.14383E+01
-1.187336E-04,1.14383E+01
-1.187328E-04,1.12430E+01
-1.187320E-04,1.18289E+01
-1.187312E-04,1.20242E+01
-1.187304E-04,1.22195E+01
-1.187296E-04,1.22195E+01
-1.187288E-04,1.26102E+01
-1.187280E-04,1.26102E+01
-1.187272E-04,1.31961E+01
-1.187264E-04,1.30008E+01
-1.187256E-04,1.31961E+01
-1.187248E-04,1.31961E+01
-1.187240E-04,1.28055E+01
-1.187232E-04,1.28055E+01
-1.187224E-04,1.31961E+01
-1.187216E-04,1.26102E+01
-1.187208E-04,1.35867E+01
-1.187200E-04,1.35867E+01
-1.187192E-04,1.35867E+01
-1.187184E-04,1.35867E+01
-1.187176E-04,1.37820E+01
-1.187168E-04,1.30008E+01
-1.187160E-04,1.31961E+01
-1.187152E-04,1.24148E+01
-1.187144E-04,1.26102E+01
-1.187136E-04,1.26102E+01
-1.187128E-04,1.28055E+01
-1.187120E-04,1.30008E+01
-1.187112E-04,1.37820E+01
-1.187104E-04,1.31961E+01
-1.187096E-04,1.41727E+01
-1.187088E-04,1.31961E+01
-1.187080E-04,1.31961E+01
-1.187072E-04,1.35867E+01
-1.187064E-04,1.31961E+01
-1.187056E-04,1.33914E+01
-1.187048E-04,1.37820E+01
-1.187040E-04,1.24148E+01
-1.187032E-04,1.35867E+01
-1.187024E-04,1.31961E+01
-1.187016E-04,1.31961E+01
-1.187008E-04,1.43680E+01
-1.187000E-04,1.41727E+01
-1.186992E-04,1.43680E+01
-1.186984E-04,1.41727E+01
-1.186976E-04,1.41727E+01
-1.186968E-04,1.41727E+01
-1.186960E-04,1.37820E+01
-1.186952E-04,1.37820E+01
-1.186944E-04,1.35867E+01
-1.186936E-04,1.35867E+01
-1.186928E-04,1.37820E+01
-1.186920E-04,1.45633E+01
-1.186912E-04,1.47586E+01
-1.186904E-04,1.51492E+01
-1.186896E-04,1.45633E+01
-1.186888E-04,1.45633E+01
-1.186880E-04,1.43680E+01
-1.186872E-04,1.43680E+01
-1.186864E-04,1.35867E+01
-1.186856E-04,1.37820E+01
-1.186848E-04,1.43680E+01
-1.186840E-04,1.47586E+01
-1.186832E-04,1.47586E+01
-1.186824E-04,1.47586E+01
-1.186816E-04,1.49539E+01
-1.186808E-04,1.51492E+01
-1.186800E-04,1.53445E+01
-1.186792E-04,1.45633E+01
-1.186784E-04,1.43680E+01
-1.186776E-04,1.49539E+01
-1.186768E-04,1.49539E+01
-1.186760E-04,1.49539E+01
-1.186752E-04,1.41727E+01
-1.186744E-04,1.51492E+01
-1.186736E-04,1.49539E+01
-1.186728E-04,1.49539E+01
-1.186720E-04,1.49539E+01
-1.186712E-04,1.55398E+01
-1.186704E-04,1.51492E+01
-1.186696E-04,1.61258E+01
-1.186688E-04,1.55398E+01
-1.186680E-04,1.55398E+01
-1.186672E-04,1.53445E+01
-1.186664E-04,1.51492E+01
-1.186656E-04,1.49539E+01
-1.186648E-04,1.57352E+01
-1.186640E-04,1.53445E+01
-1.186632E-04,1.59305E+01
-1.186624E-04,1.63211E+01
-1.186616E-04,1.61258E+01
-1.186608E-04,1.63211E+01
-1.186600E-04,1.59305E+01
-1.186592E-04,1.63211E+01
-1.186584E-04,1.59305E+01
-1.186576E-04,1.55398E+01
-1.186568E-04,1.57352E+01
-1.186560E-04,1.57352E+01
-1.186552E-04,1.59305E+01
