in s,C1 in V
-3.0499920E-03,-1.36113E+00
-3.0499456E-03,-4.38848E+00
-3.0498992E-03,-6.82988E+00
-3.0498528E-03,-8.92949E+00
-3.0498064E-03,-1.03943E+01
-3.0497600E-03,-1.09803E+01
-3.0497136E-03,-9.80840E+00
-3.0496672E-03,-7.61113E+00
-3.0496208E-03,-5.65801E+00
-3.0495744E-03,-5.65801E+00
-3.0495280E-03,-7.31816E+00
-3.0494816E-03,-8.97832E+00
-3.0494352E-03,-8.63652E+00
-3.0493888E-03,-7.36699E+00
-3.0493424E-03,-6.39043E+00
-3.0492960E-03,-6.53691E+00
-3.0492496E-03,-6.87871E+00
-3.0492032E-03,-6.87871E+00
-3.0491568E-03,-6.48809E+00
-3.0491104E-03,-6.48809E+00
-3.0490640E-03,-6.78105E+00
-3.0490176E-03,-6.78105E+00
-3.0489712E-03,-6.39043E+00
-3.0489248E-03,-5.85332E+00
-3.0488784E-03,-5.75566E+00
-3.0488320E-03,-6.19512E+00
-3.0487856E-03,-6.19512E+00
-3.0487392E-03,-5.90215E+00
-3.0486928E-03,-5.65801E+00
-3.0486464E-03,-4.92559E+00
-3.0486000E-03,-2.63066E+00
-3.0485536E-03,1.47090E+00
-3.0485072E-03,6.45137E+00
-3.0484608E-03,1.04553E+01
-3.0484144E-03,1.30432E+01
-3.0483680E-03,1.37756E+01
-3.0483216E-03,1.37756E+01
-3.0482752E-03,1.37756E+01
-3.0482288E-03,1.37756E+01
-3.0481824E-03,1.37756E+01
-3.0481360E-03,1.37756E+01
-3.0480896E-03,1.37756E+01
-3.0480432E-03,1.37756E+01
-3.0479968E-03,1.33361E+01
-3.0479504E-03,1.09924E+01
-3.0479040E-03,8.89277E+00
-3.0478576E-03,6.30488E+00
-3.0478112E-03,3.13105E+00
-3.0477648E-03,2.99023E-01
-3.0477184E-03,-2.92363E+00
-3.0476720E-03,-5.51152E+00
-3.0476256E-03,-8.05059E+00
-3.0475792E-03,-9.66191E+00
-3.0475328E-03,-1.06873E+01
-3.0474864E-03,-1.04920E+01
-3.0474400E-03,-8.88066E+00
-3.0473936E-03,-6.39043E+00
-3.0473472E-03,-5.31621E+00
-3.0473008E-03,-6.29277E+00
-3.0472544E-03,-8.29473E+00
-3.0472080E-03,-9.02715E+00
-3.0471616E-03,-7.85527E+00
-3.0471152E-03,-6.82988E+00
-3.0470688E-03,-6.43926E+00
-3.0470224E-03,-6.73223E+00
-3.0469760E-03,-6.92754E+00
-3.0469296E-03,-6.48809E+00
-3.0468832E-03,-6.43926E+00
-3.0468368E-03,-6.58574E+00
-3.0467904E-03,-6.78105E+00
-3.0467440E-03,-6.58574E+00
-3.0466976E-03,-6.04863E+00
-3.0466512E-03,-5.65801E+00
-3.0466048E-03,-5.95098E+00
-3.0465584E-03,-6.04863E+00
-3.0465120E-03,-6.04863E+00
-3.0464656E-03,-5.70684E+00
-3.0464192E-03,-5.07207E+00
-3.0463728E-03,-3.80254E+00
-3.0463264E-03,-7.75195E-01
-3.0462800E-03,3.91230E+00
-3.0462336E-03,8.50215E+00
-3.0461872E-03,1.21154E+01
-3.0461408E-03,1.37756E+01
-3.0460944E-03,1.37756E+01
-3.0460480E-03,1.37756E+01
-3.0460016E-03,1.37756E+01
-3.0459552E-03,1.37756E+01
-3.0459088E-03,1.37756E+01
-3.0458624E-03,1.37756E+01
-3.0458160E-03,1.37756E+01
-3.0457696E-03,1.37756E+01
-3.0457232E-03,1.22131E+01
-3.0456768E-03,9.77168E+00
-3.0456304E-03,7.37910E+00
-3.0455840E-03,4.64473E+00
-3.0455376E-03,1.56855E+00
-3.0454912E-03,-1.26348E+00
-3.0454448E-03,-4.24199E+00
-3.0453984E-03,-6.73223E+00
-3.0453520E-03,-9.02715E+00
-3.0453056E-03,-1.03455E+01
-3.0452592E-03,-1.08826E+01
-3.0452128E-03,-9.95488E+00
-3.0451664E-03,-7.61113E+00
-3.0451200E-03,-5.51152E+00
-3.0450736E-03,-5.70684E+00
-3.0450272E-03,-7.46465E+00
-3.0449808E-03,-8.68535E+00
-3.0449344E-03,-8.58770E+00
-3.0448880E-03,-7.22051E+00
-3.0448416E-03,-6.53691E+00
-3.0447952E-03,-6.43926E+00
-3.0447488E-03,-6.92754E+00
-3.0447024E-03,-6.68340E+00
-3.0446560E-03,-6.39043E+00
-3.0446096E-03,-6.58574E+00
-3.0445632E-03,-6.87871E+00
-3.0445168E-03,-6.92754E+00
-3.0444704E-03,-6.34160E+00
-3.0444240E-03,-5.56035E+00
-3.0443776E-03,-5.75566E+00
-3.0443312E-03,-5.90215E+00
-3.0442848E-03,-6.14629E+00
-3.0442384E-03,-5.80449E+00
-3.0441920E-03,-5.36504E+00
-3.0441456E-03,-4.68145E+00
-3.0440992E-03,-2.58184E+00
-3.0440528E-03,1.47090E+00
-3.0440064E-03,6.45137E+00
-3.0439600E-03,1.06994E+01
-3.0439136E-03,1.30920E+01
-3.0438672E-03,1.37756E+01
-3.0438208E-03,1.37756E+01
-3.0437744E-03,1.37756E+01
-3.0437280E-03,1.37756E+01
-3.0436816E-03,1.37756E+01
-3.0436352E-03,1.37756E+01
-3.0435888E-03,1.37756E+01
-3.0435424E-03,1.37756E+01
-3.0434960E-03,1.33361E+01
-3.0434496E-03,1.09436E+01
-3.0434032E-03,8.64863E+00
-3.0433568E-03,6.06074E+00
-3.0433104E-03,3.17988E+00
-3.0432640E-03,5.48828E-02
-3.0432176E-03,-2.87480E+00
-3.0431712E-03,-5.75566E+00
-3.0431248E-03,-8.00176E+00
-3.0430784E-03,-9.80840E+00
-3.0430320E-03,-1.08338E+01
-3.0429856E-03,-1.08338E+01
-3.0429392E-03,-8.68535E+00
-3.0428928E-03,-6.34160E+00
-3.0428464E-03,-5.36504E+00
-3.0428000E-03,-6.39043E+00
-3.0427536E-03,-8.24590E+00
-3.0427072E-03,-9.07598E+00
-3.0426608E-03,-7.85527E+00
-3.0426144E-03,-6.48809E+00
-3.0425680E-03,-6.48809E+00
-3.0425216E-03,-6.63457E+00
-3.0424752E-03,-6.92754E+00
-3.0424288E-03,-6.53691E+00
-3.0423824E-03,-6.63457E+00
-3.0423360E-03,-6.68340E+00
-3.0422896E-03,-6.87871E+00
-3.0422432E-03,-6.48809E+00
-3.0421968E-03,-5.90215E+00
-3.0421504E-03,-5.70684E+00
-3.0421040E-03,-5.95098E+00
-3.0420576E-03,-6.19512E+00
-3.0420112E-03,-6.14629E+00
-3.0419648E-03,-5.70684E+00
-3.0419184E-03,-5.07207E+00
-3.0418720E-03,-3.70488E+00
-3.0418256E-03,-7.26367E-01
-3.0417792E-03,4.00996E+00
-3.0417328E-03,8.55098E+00
-3.0416864E-03,1.20178E+01
-3.0416400E-03,1.37756E+01
-3.0415936E-03,1.37756E+01
-3.0415472E-03,1.37756E+01
-3.0415008E-03,1.37756E+01
