
Label=v(1) vs T
LabelX=T
LabelY=v(1)
Data Point Count=10005
T,v(1)
 0.0000000000000000E+000, 0.0000000000000000E+000
 1.0000000000000001E-009, 2.7897306578167559E-002
 2.0000000000000001E-009, 5.5794396042414200E-002
 4.0000000000000002E-009, 1.1158705518359943E-001
 8.0000000000000005E-009, 2.2316021548178783E-001
 1.6000000000000001E-008, 4.4620928226126755E-001
 2.6000000000000001E-008, 7.2469507885822393E-001
 3.6000000000000005E-008, 1.0026169095845163E+000
 4.6000000000000002E-008, 1.2797584925419849E+000
 5.5999999999999999E-008, 1.5559041530300708E+000
 6.5999999999999995E-008, 1.8308389913862935E+000
 7.5999999999999992E-008, 2.1043490502235911E+000
 8.5999999999999989E-008, 2.3762214809343662E+000
 9.5999999999999986E-008, 2.6462447093316701E+000
 1.0599999999999998E-007, 2.9142086002986161E+000
 1.1599999999999998E-007, 3.1799046213178954E+000
 1.2599999999999999E-007, 3.4431260047541299E+000
 1.3600000000000000E-007, 3.7036679087627729E+000
 1.4600000000000001E-007, 3.9613275767003397E+000
 1.5600000000000002E-007, 4.2159044949119124E+000
 1.6600000000000003E-007, 4.4672005487731212E+000
 1.7600000000000004E-007, 4.7150201768651776E+000
 1.8600000000000005E-007, 4.9591705231629737E+000
 1.9600000000000006E-007, 5.1994615871178098E+000
 2.0600000000000007E-007, 5.4357063715179619E+000
 2.1600000000000008E-007, 5.6677210280120196E+000
 2.2600000000000009E-007, 5.8953250001817379E+000
 2.3600000000000010E-007, 6.1183411640530858E+000
 2.4600000000000011E-007, 6.3365959659361026E+000
 2.5600000000000012E-007, 6.5499195574863460E+000
 2.6600000000000013E-007, 6.7581459278827785E+000
 2.7600000000000014E-007, 6.9611130330192639E+000
 2.8600000000000015E-007, 7.1586629216091104E+000
 2.9600000000000016E-007, 7.3506418581045434E+000
 3.0600000000000017E-007, 7.5369004423354378E+000
 3.1600000000000018E-007, 7.7172937257742147E+000
 3.2600000000000019E-007, 7.8916813243364157E+000
 3.3600000000000020E-007, 8.0599275276291813E+000
 3.4600000000000021E-007, 8.2219014045626047E+000
 3.5600000000000022E-007, 8.3774769052417728E+000
 3.6600000000000023E-007, 8.5265329590602352E+000
 3.7600000000000024E-007, 8.6689535689184858E+000
 3.8600000000000025E-007, 8.8046279014942357E+000
 3.9600000000000026E-007, 8.9334503734941375E+000
 4.0600000000000027E-007, 9.0553207338198973E+000
 4.1600000000000028E-007, 9.1701441415848119E+000
 4.2600000000000029E-007, 9.2778312399200118E+000
 4.3600000000000030E-007, 9.3782982255129781E+000
 4.4600000000000031E-007, 9.4714669138242353E+000
 4.5600000000000032E-007, 9.5572647999314277E+000
 4.6600000000000033E-007, 9.6356251149534806E+000
 4.7600000000000034E-007, 9.7064868780108764E+000
 4.8600000000000030E-007, 9.7697949436816796E+000
 4.9600000000000031E-007, 9.8255000449163159E+000
 5.0600000000000032E-007, 9.8735588313777498E+000
 5.1600000000000033E-007, 9.9139339031771971E+000
 5.2600000000000034E-007, 9.9465938399791494E+000
 5.3600000000000035E-007, 9.9715132254530232E+000
 5.4600000000000036E-007, 9.9886726670524464E+000
 5.5600000000000037E-007, 9.9980588111067412E+000
 5.6600000000000038E-007, 9.9996643532129177E+000
 5.7600000000000039E-007, 9.9934880439200278E+000
 5.8600000000000040E-007, 9.9795346897015094E+000
 5.9600000000000041E-007, 9.9578151492147366E+000
 6.0600000000000042E-007, 9.9283463248506845E+000
 6.1600000000000043E-007, 9.8911511495803026E+000
 6.2600000000000044E-007, 9.8462585691078139E+000
 6.3600000000000045E-007, 9.7937035193448470E+000
 6.4600000000000046E-007, 9.7335268992229143E+000
 6.5600000000000047E-007, 9.6657755388654039E+000
 6.6600000000000048E-007, 9.5905021631438458E+000
 6.7600000000000049E-007, 9.5077653506468316E+000
 6.8600000000000050E-007, 9.4176294880934837E+000
 6.9600000000000051E-007, 9.3201647202270053E+000
 7.0600000000000052E-007, 9.2154468952272310E+000
 7.1600000000000054E-007, 9.1035575056847353E+000
 7.2600000000000055E-007, 8.9845836251823652E+000
 7.3600000000000056E-007, 8.8586178405336131E+000
 7.4600000000000057E-007, 8.7257581797305104E+000
 7.5600000000000058E-007, 8.5861080356571335E+000
 7.6600000000000059E-007, 8.4397760856281021E+000
 7.7600000000000060E-007, 8.2868762068146804E+000
 7.8600000000000061E-007, 8.1275273876242551E+000
 7.9600000000000062E-007, 7.9618536351022451E+000
 8.0600000000000063E-007, 7.7899838784283943E+000
 8.1600000000000064E-007, 7.6120518685826601E+000
 8.2600000000000065E-007, 7.4281960742586763E+000
 8.3600000000000066E-007, 7.2385595741058539E+000
 8.4600000000000067E-007, 7.0432899453839841E+000
 8.5600000000000068E-007, 6.8425391491169387E+000
 8.6600000000000069E-007, 6.6364634118348835E+000
 8.7600000000000070E-007, 6.4252231039970553E+000
 8.8600000000000071E-007, 6.2089826151896421E+000
 8.9600000000000072E-007, 5.9879102261959716E+000
 9.0600000000000073E-007, 5.7621779780385101E+000
 9.1600000000000074E-007, 5.5319615380945795E+000
 9.2600000000000075E-007, 5.2974400633900656E+000
 9.3600000000000076E-007, 5.0587960611773592E+000
 9.4600000000000077E-007, 4.8162152469061965E+000
 9.5600000000000067E-007, 4.5698863996977810E+000
 9.6600000000000058E-007, 4.3200012154347531E+000
 9.7600000000000048E-007, 4.0667541575812853E+000
 9.8600000000000039E-007, 3.8103423058494439E+000
 9.9600000000000029E-007, 3.5509652028295271E+000
 1.0060000000000002E-006, 3.2888246987037717E+000
 1.0160000000000001E-006, 3.0241247941642753E+000
 1.0260000000000000E-006, 2.7570714816573543E+000
 1.0359999999999999E-006, 2.4878725850779078E+000
 1.0459999999999998E-006, 2.2167375980385180E+000
 1.0559999999999997E-006, 1.9438775208391659E+000
 1.0659999999999996E-006, 1.6695046962644187E+000
 1.0759999999999995E-006, 1.3938326443358851E+000
 1.0859999999999994E-006, 1.1170758961485314E+000
 1.0959999999999993E-006, 8.3944982692016568E-001
 1.1059999999999992E-006, 5.6117048838401917E-001
 1.1159999999999991E-006, 2.8245444065485414E-001
 1.1259999999999990E-006, 3.5185836994449720E-003
 1.1359999999999989E-006,-2.7542001145741951E-001
 1.1459999999999989E-006,-5.5414427166004665E-001
 1.1559999999999988E-006,-8.3243729055063187E-001
 1.1659999999999987E-006,-1.1100824973682024E+000
 1.1759999999999986E-006,-1.3868638254864396E+000
 1.1859999999999985E-006,-1.6625658805591566E+000
 1.1959999999999984E-006,-1.9369741081426022E+000
 1.2059999999999983E-006,-2.2098749606641479E+000
 1.2159999999999982E-006,-2.4810560636074110E+000
 1.2259999999999981E-006,-2.7503063807844965E+000
 1.2359999999999980E-006,-3.0174163785667312E+000
 1.2459999999999979E-006,-3.2821781889460997E+000
 1.2559999999999978E-006,-3.5443857713004618E+000
 1.2659999999999977E-006,-3.8038350727366881E+000
 1.2759999999999976E-006,-4.0603241868869206E+000
 1.2859999999999975E-006,-4.3136535110343779E+000
 1.2959999999999974E-006,-4.5636259014464393E+000
 1.3059999999999973E-006,-4.8100468267941201E+000
 1.3159999999999972E-006,-5.0527245195385344E+000
 1.3259999999999971E-006,-5.2914701251665575E+000
 1.3359999999999970E-006,-5.5260978491595463E+000
 1.3459999999999969E-006,-5.7564251015807022E+000
 1.3559999999999968E-006,-5.9822726391686345E+000
 1.3659999999999967E-006,-6.2034647048264757E+000
 1.3759999999999967E-006,-6.4198291643980383E+000
 1.3859999999999966E-006,-6.6311976406245527E+000
 1.3959999999999965E-006,-6.8374056441777418E+000
 1.4059999999999964E-006,-7.0382927016672738E+000
 1.4159999999999963E-006,-7.2337024805229566E+000
 1.4259999999999962E-006,-7.4234829106545108E+000
 1.4359999999999961E-006,-7.6074863027942152E+000
 1.4459999999999960E-006,-7.7855694634303774E+000
 1.4559999999999959E-006,-7.9575938062421141E+000
 1.4659999999999958E-006,-8.1234254599488001E+000
 1.4759999999999957E-006,-8.2829353724902042E+000
 1.4859999999999956E-006,-8.4359994114562546E+000
 1.4959999999999955E-006,-8.5824984606882779E+000
 1.5059999999999954E-006,-8.7223185129765337E+000
