
Label=v(2) vs T
LabelX=T
LabelY=v(2)
Data Point Count=10005
T,v(2)
 0.0000000000000000E+000, 0.0000000000000000E+000
 1.0000000000000001E-009, 2.4256011199137839E-004
 2.0000000000000001E-009, 2.4680312529161370E-004
 4.0000000000000002E-009, 2.5117227702293045E-004
 8.0000000000000005E-009, 2.5978959302582730E-004
 1.6000000000000001E-008, 2.7702996403762949E-004
 2.6000000000000001E-008, 2.9829666524994311E-004
 3.6000000000000005E-008, 3.1939723812986264E-004
 4.6000000000000002E-008, 3.4018347210578543E-004
 5.5999999999999999E-008, 3.6077052353050530E-004
 6.5999999999999995E-008, 3.8101149474098326E-004
 7.5999999999999992E-008, 4.0102105630918940E-004
 8.5999999999999989E-008, 4.2065366693271121E-004
 9.5999999999999986E-008, 4.4002356681302474E-004
 1.0599999999999998E-007, 4.5898661310615784E-004
 1.1599999999999998E-007, 4.7765666953573032E-004
 1.2599999999999999E-007, 4.9589103230887784E-004
 1.3600000000000000E-007, 5.1380324089837824E-004
 1.4600000000000001E-007, 5.3125206950393555E-004
 1.5600000000000002E-007, 5.4835078376599727E-004
 1.6600000000000003E-007, 5.6495967302629460E-004
 1.7600000000000004E-007, 5.8119177756556597E-004
 1.8600000000000005E-007, 5.9690893708997804E-004
 1.9600000000000006E-007, 6.1222401291578387E-004
 2.0600000000000007E-007, 6.2700042827997784E-004
 2.1600000000000008E-007, 6.4135090972709786E-004
 2.2600000000000009E-007, 6.5514049501290276E-004
 2.3600000000000010E-007, 6.6848181778205991E-004
 2.4600000000000011E-007, 6.8124155900312761E-004
 2.5600000000000012E-007, 6.9353229886048807E-004
 2.6600000000000013E-007, 7.0522238782739523E-004
 2.7600000000000014E-007, 7.1642438953141094E-004
 2.8600000000000015E-007, 7.2700834773961143E-004
 2.9600000000000016E-007, 7.3708684379392186E-004
 3.0600000000000017E-007, 7.4653163594890892E-004
 3.1600000000000018E-007, 7.5545535481175066E-004
 3.2600000000000019E-007, 7.6373149163820619E-004
 3.3600000000000020E-007, 7.7147275505156157E-004
 3.4600000000000021E-007, 7.7855438506645158E-004
 3.5600000000000022E-007, 7.8508919420193805E-004
 3.6600000000000023E-007, 7.9095418416596358E-004
 3.7600000000000024E-007, 7.9626229431952117E-004
 3.8600000000000025E-007, 8.0089229811651844E-004
 3.9600000000000026E-007, 8.0495728171926101E-004
 4.0600000000000027E-007, 8.0833779744924391E-004
 4.1600000000000028E-007, 8.1114709519845363E-004
 4.2600000000000029E-007, 8.1326751030653325E-004
 4.3600000000000030E-007, 8.1481247025765274E-004
 4.4600000000000031E-007, 8.1566609455842711E-004
 4.5600000000000032E-007, 8.1594199905642487E-004
 4.6600000000000033E-007, 8.1552608555101290E-004
 4.7600000000000034E-007, 8.1453216591722112E-004
 4.8600000000000030E-007, 8.1284791933823076E-004
 4.9600000000000031E-007, 8.1058735826702237E-004
 5.0600000000000032E-007, 8.0763993132479709E-004
 5.1600000000000033E-007, 8.0411985298257883E-004
 5.2600000000000034E-007, 7.9991833032443138E-004
 5.3600000000000035E-007, 7.9514977818183244E-004
 5.4600000000000036E-007, 7.8970714811415316E-004
 5.5600000000000037E-007, 7.8370505058037549E-004
 5.6600000000000038E-007, 7.7703816464167548E-004
 5.7600000000000039E-007, 7.6982128860794837E-004
 5.8600000000000040E-007, 7.6195080911858621E-004
 5.9600000000000041E-007, 7.5354170155528786E-004
 6.0600000000000042E-007, 7.4449203730725280E-004
 6.1600000000000043E-007, 7.3491695509651518E-004
 6.2600000000000044E-007, 7.2471618538323126E-004
 6.3600000000000045E-007, 7.1400501360538492E-004
 6.4600000000000046E-007, 7.0268480082809912E-004
 6.5600000000000047E-007, 6.9087095975628096E-004
 6.6600000000000048E-007, 6.7846645087896455E-004
 6.7600000000000049E-007, 6.6558679197130919E-004
 6.8600000000000050E-007, 6.5213650913083655E-004
 6.9600000000000051E-007, 6.3823120034398062E-004
 7.0600000000000052E-007, 6.2377692095596463E-004
 7.1600000000000054E-007, 6.0888932173675133E-004
 7.2600000000000055E-007, 5.9347594847023236E-004
 7.3600000000000056E-007, 5.7765247481474438E-004
 7.4600000000000057E-007, 5.6132789584032274E-004
 7.5600000000000058E-007, 5.4461787584017454E-004
 7.6600000000000059E-007, 5.2743281578658291E-004
 7.7600000000000060E-007, 5.0988833611206224E-004
