
Label=v(2) vs T
LabelX=T
LabelY=v(2)
Data Point Count=10005
T,v(2)
 0.0000000000000000E+000, 0.0000000000000000E+000
 1.0000000000000001E-009, 2.5042197333205004E-002
 2.0000000000000001E-009, 4.7544058559044609E-002
 4.0000000000000002E-009, 8.8026617071957719E-002
 6.7675225867840069E-009, 1.3131460621224023E-001
 1.2302567760352021E-008, 1.8895935876074685E-001
 2.0777291228946558E-008, 2.3657411559616343E-001
 3.0777291228946555E-008, 2.6700008268949316E-001
 4.0777291228946552E-008, 2.8910080267112087E-001
 5.0777291228946549E-008, 3.0907232908132154E-001
 6.0777291228946546E-008, 3.2835663781850538E-001
 7.0777291228946543E-008, 3.4728062927191566E-001
 8.0777291228946540E-008, 3.6590978200126506E-001
 9.0777291228946537E-008, 3.8424841334834992E-001
 1.0077729122894653E-007, 4.0228666558964393E-001
 1.1077729122894653E-007, 4.2001153650716622E-001
 1.2077729122894654E-007, 4.3740947528208957E-001
 1.3077729122894655E-007, 4.5446699961675913E-001
 1.4077729122894656E-007, 4.7117084851879443E-001
 1.5077729122894657E-007, 4.8750802600011023E-001
 1.6077729122894658E-007, 5.0346581902069332E-001
 1.7077729122894659E-007, 5.1903180921885461E-001
 1.8077729122894660E-007, 5.3419388300621495E-001
 1.9077729122894661E-007, 5.4894024109571893E-001
 2.0077729122894662E-007, 5.6325940770767624E-001
 2.1077729122894663E-007, 5.7714023950591797E-001
 2.2077729122894664E-007, 5.9057193427095445E-001
 2.3077729122894665E-007, 6.0354403930670397E-001
 2.4077729122894664E-007, 6.1604645957496684E-001
 2.5077729122894665E-007, 6.2806946555151111E-001
 2.6077729122894666E-007, 6.3960370079769802E-001
 2.7077729122894667E-007, 6.5064018924178457E-001
 2.8077729122894668E-007, 6.6117034216418713E-001
 2.9077729122894669E-007, 6.7118596488133131E-001
 3.0077729122894670E-007, 6.8067926312283789E-001
 3.1077729122894671E-007, 6.8964284909711648E-001
 3.2077729122894672E-007, 6.9806974724063153E-001
 3.3077729122894673E-007, 7.0595339964635562E-001
 3.4077729122894674E-007, 7.1328767116721714E-001
 3.5077729122894675E-007, 7.2006685419052763E-001
 3.6077729122894676E-007, 7.2628567307972780E-001
 3.7077729122894677E-007, 7.3193928827993138E-001
 3.8077729122894678E-007, 7.3702330008412242E-001
 3.9077729122894679E-007, 7.4153375205707517E-001
 4.0077729122894680E-007, 7.4546713411427035E-001
 4.1077729122894681E-007, 7.4882038525349981E-001
 4.2077729122894682E-007, 7.5159089593697503E-001
 4.3077729122894683E-007, 7.5377651012207358E-001
 4.4077729122894684E-007, 7.5537552693923327E-001
 4.5077729122894685E-007, 7.5638670201556313E-001
 4.6077729122894686E-007, 7.5680924844323083E-001
 4.7077729122894687E-007, 7.5664283739184723E-001
 4.8077729122894688E-007, 7.5588759836436370E-001
 4.9077729122894689E-007, 7.5454411909630137E-001
 5.0077729122894690E-007, 7.5261344509835337E-001
 5.1077729122894691E-007, 7.5009707884275778E-001
 5.2077729122894692E-007, 7.4699697859407788E-001
 5.3077729122894693E-007, 7.4331555688523532E-001
 5.4077729122894694E-007, 7.3905567864005228E-001
 5.5077729122894695E-007, 7.3422065894375299E-001
 5.6077729122894696E-007, 7.2881426046310538E-001
 5.7077729122894697E-007, 7.2284069051828348E-001
 5.8077729122894698E-007, 7.1630459780868527E-001
 5.9077729122894699E-007, 7.0921106879525375E-001
 6.0077729122894700E-007, 7.0156562374214748E-001
 6.1077729122894701E-007, 6.9337421242079078E-001
 6.2077729122894702E-007, 6.8464320947971435E-001
 6.3077729122894703E-007, 6.7537940948372144E-001
 6.4077729122894704E-007, 6.6559002162628000E-001
 6.5077729122894705E-007, 6.5528266411925584E-001
 6.6077729122894706E-007, 6.4446535826432461E-001
 6.7077729122894707E-007, 6.3314652221070666E-001
 6.8077729122894708E-007, 6.2133496440407476E-001
 6.9077729122894709E-007, 6.0903987673171056E-001
 7.0077729122894710E-007, 5.9627082736929460E-001
 7.1077729122894711E-007, 5.8303775333482055E-001
 7.2077729122894712E-007, 5.6935095275551162E-001
 7.3077729122894713E-007, 5.5522107685369160E-001
 7.4077729122894714E-007, 5.4065912165790175E-001
 7.5077729122894715E-007, 5.2567641944564347E-001
 7.6077729122894716E-007, 5.1028462992449053E-001
 7.7077729122894717E-007, 4.9449573115836409E-001
 7.8077729122894718E-007, 4.7832201024606924E-001
 7.9077729122894719E-007, 4.6177605375934511E-001
 8.0077729122894720E-007, 4.4487073794783843E-001
 8.1077729122894721E-007, 4.2761921871867631E-001
 8.2077729122894722E-007, 4.1003492139837916E-001
 8.3077729122894723E-007, 3.9213153028512476E-001
 8.4077729122894724E-007, 3.7392297799948004E-001
 8.5077729122894725E-007, 3.5542343464185988E-001
 8.6077729122894726E-007, 3.3664729676522293E-001
 8.7077729122894727E-007, 3.1760917617149065E-001
 8.8077729122894728E-007, 2.9832388854047726E-001
 8.9077729122894729E-007, 2.7880644190018400E-001
 9.0077729122894730E-007, 2.5907202494735143E-001
 9.1077729122894731E-007, 2.3913599522747231E-001
 9.2077729122894733E-007, 2.1901386718336149E-001
 9.3077729122894734E-007, 1.9872130008164107E-001
 9.4077729122894735E-007, 1.7827408582653603E-001
 9.5077729122894736E-007, 1.5768813667041273E-001
 9.6077729122894737E-007, 1.3697947283071696E-001
 9.7077729122894727E-007, 1.1616421002283421E-001
 9.8077729122894717E-007, 9.5258546918662895E-002
 9.9077729122894708E-007, 7.4278752540638121E-002
 1.0007772912289470E-006, 5.3241153600985955E-002
 1.0107772912289469E-006, 3.2162121796085748E-002
 1.0207772912289468E-006, 1.1058061065849438E-002
