
Label=v(6) vs T
LabelX=T
LabelY=v(6)
Data Point Count=50005
T,v(6)
 0.0000000000000000E+000, 0.0000000000000000E+000
 1.0000000000000002E-010, 2.7621914840768708E-003
 2.0000000000000003E-010, 5.5219769429914363E-003
 4.0000000000000007E-010, 1.1036743144274191E-002
 7.0073220667303433E-010, 1.9311040119977734E-002
 1.2090006039061839E-009, 3.3246477289546411E-002
 2.2090006039061837E-009, 6.0486231205860400E-002
 3.2090006039061836E-009, 8.7493219174330450E-002
 4.2090006039061835E-009, 1.1427125690142370E-001
 5.2090006039061833E-009, 1.4082409220419354E-001
 6.2090006039061832E-009, 1.6715540618737418E-001
 7.2090006039061830E-009, 1.9326881440010898E-001
 8.2090006039061829E-009, 2.1916786797266519E-001
 9.2090006039061836E-009, 2.4485605473348102E-001
 1.0209000603906184E-008, 2.7033680030688656E-001
 1.1209000603906185E-008, 2.9561346919183196E-001
 1.2209000603906186E-008, 3.2068936582195268E-001
 1.3209000603906186E-008, 3.4556773560729453E-001
 1.4209000603906187E-008, 3.7025176595801579E-001
 1.5209000603906186E-008, 3.9474458729037887E-001
 1.6209000603906185E-008, 4.1904927401533831E-001
 1.7209000603906184E-008, 4.4316884551002528E-001
 1.8209000603906183E-008, 4.6710626707242636E-001
 1.9209000603906182E-008, 4.9086445085954628E-001
 2.0209000603906181E-008, 5.1444625680934086E-001
 2.1209000603906180E-008, 5.3785449354670178E-001
 2.2209000603906179E-008, 5.6109191927376822E-001
 2.3209000603906178E-008, 5.8416124264483782E-001
 2.4209000603906177E-008, 6.0706512362614262E-001
 2.5209000603906176E-008, 6.2980617434075303E-001
 2.6209000603906175E-008, 6.5238695989886619E-001
 2.7209000603906174E-008, 6.7480999921373208E-001
 2.8209000603906173E-008, 6.9707776580346714E-001
 2.9209000603906172E-008, 7.1919268857899910E-001
 3.0209000603906171E-008, 7.4115715261838022E-001
 3.1209000603906174E-008, 7.6297349992771191E-001
 3.2209000603906176E-008, 7.8464403018890405E-001
 3.3209000603906178E-008, 8.0617100149450449E-001
 3.4209000603906181E-008, 8.2755663106981603E-001
 3.5209000603906183E-008, 8.4880309598252768E-001
 3.6209000603906185E-008, 8.6991253384006961E-001
 3.7209000603906188E-008, 8.9088704347490910E-001
 3.8209000603906190E-008, 9.1172868561799536E-001
 3.9209000603906192E-008, 9.3243948356055562E-001
 4.0209000603906195E-008, 9.5302142380444888E-001
 4.1209000603906197E-008, 9.7347645670127070E-001
 4.2209000603906199E-008, 9.9380649708040691E-001
 4.3209000603906202E-008, 1.0140134248662258E+000
 4.4209000603906204E-008, 1.0340990856845995E+000
 4.5209000603906206E-008, 1.0540652914589357E+000
 4.6209000603906209E-008, 1.0739138209959014E+000
 4.7209000603906211E-008, 1.0936464205610228E+000
 4.8209000603906213E-008, 1.1132648044443318E+000
 4.9209000603906216E-008, 1.1327706555162260E+000
 5.0209000603906218E-008, 1.1521656257737263E+000
 5.1209000603906221E-008, 1.1714513368772863E+000
 5.2209000603906223E-008, 1.1906293806783170E+000
 5.3209000603906225E-008, 1.2097013197375988E+000
 5.4209000603906228E-008, 1.2286686878347235E+000
 5.5209000603906230E-008, 1.2475329904687327E+000
 5.6209000603906232E-008, 1.2662957053501018E+000
 5.7209000603906235E-008, 1.2849582828842170E+000
 5.8209000603906237E-008, 1.3035221466464952E+000
 5.9209000603906239E-008, 1.3219886938492911E+000
 6.0209000603906242E-008, 1.3403592958007333E+000
 6.1209000603906237E-008, 1.3586352983556280E+000
 6.2209000603906233E-008, 1.3768180223585715E+000
 6.3209000603906229E-008, 1.3949087640793998E+000
 6.4209000603906224E-008, 1.4129087956411162E+000
 6.5209000603906220E-008, 1.4308193654404193E+000
 6.6209000603906216E-008, 1.4486416985609645E+000
 6.7209000603906212E-008, 1.4663769971794816E+000
 6.8209000603906207E-008, 1.4840264409648776E+000
 6.9209000603906203E-008, 1.5015911874704384E+000
 7.0209000603906199E-008, 1.5190723725192548E+000
 7.1209000603906194E-008, 1.5364711105829860E+000
 7.2209000603906190E-008, 1.5537884951540819E+000
 7.3209000603906186E-008, 1.5710255991115702E+000
 7.4209000603906182E-008, 1.5881834750805248E+000
 7.5209000603906177E-008, 1.6052631557853221E+000
 7.6209000603906173E-008, 1.6222656543967939E+000
 7.7209000603906169E-008, 1.6391919648733833E+000
 7.8209000603906164E-008, 1.6560430622964071E+000
 7.9209000603906160E-008, 1.6728199031995241E+000
 8.0209000603906156E-008, 1.6895234258925116E+000
 8.1209000603906152E-008, 1.7061545507794527E+000
 8.2209000603906147E-008, 1.7227141806714223E+000
 8.3209000603906143E-008, 1.7392032010937741E+000
 8.4209000603906139E-008, 1.7556224805881218E+000
 8.5209000603906135E-008, 1.7719728710090994E+000
 8.6209000603906130E-008, 1.7882552078160006E+000
 8.7209000603906126E-008, 1.8044703103593793E+000
 8.8209000603906122E-008, 1.8206189821627017E+000
 8.9209000603906117E-008, 1.8367020111991317E+000
 9.0209000603906113E-008, 1.8527201701635381E+000
 9.1209000603906109E-008, 1.8686742167398078E+000
 9.2209000603906105E-008, 1.8845648938635373E+000
 9.3209000603906100E-008, 1.9003929299801943E+000
 9.4209000603906096E-008, 1.9161590392988146E+000
 9.5209000603906092E-008, 1.9318639220413278E+000
 9.6209000603906087E-008, 1.9475082646875739E+000
 9.7209000603906083E-008, 1.9630927402160883E+000
 9.8209000603906079E-008, 1.9786180083407297E+000
 9.9209000603906075E-008, 1.9940847157432311E+000
 1.0020900060390607E-007, 2.0094934963017277E+000
 1.0120900060390607E-007, 2.0248449713153467E+000
 1.0220900060390606E-007, 2.0401397497249150E+000
 1.0320900060390606E-007, 2.0553784283298642E+000
 1.0420900060390605E-007, 2.0705615920013840E+000
 1.0520900060390605E-007, 2.0856898138919080E+000
 1.0620900060390604E-007, 2.1007636556409754E+000
 1.0720900060390604E-007, 2.1157836675775439E+000
 1.0820900060390604E-007, 2.1307503889188135E+000
 1.0920900060390603E-007, 2.1456643479656181E+000
 1.1020900060390603E-007, 2.1605260622944447E+000
 1.1120900060390602E-007, 2.1753360389461425E+000
 1.1220900060390602E-007, 2.1900947746113784E+000
 1.1320900060390601E-007, 2.2048027558128895E+000
 1.1420900060390601E-007, 2.2194604590845901E+000
 1.1520900060390601E-007, 2.2340683511475983E+000
 1.1620900060390600E-007, 2.2486268890832202E+000
 1.1720900060390600E-007, 2.2631365205029508E+000
 1.1820900060390599E-007, 2.2775976837155456E+000
 1.1920900060390599E-007, 2.2920108078912129E+000
 1.2020900060390600E-007, 2.3063763132229700E+000
 1.2120900060390599E-007, 2.3206946110852207E+000
 1.2220900060390599E-007, 2.3349661041896028E+000
 1.2320900060390599E-007, 2.3491911867381385E+000
 1.2420900060390598E-007, 2.3633702445737566E+000
 1.2520900060390598E-007, 2.3775036553282121E+000
 1.2620900060390597E-007, 2.3915917885674616E+000
 1.2720900060390597E-007, 2.4056350059345282E+000
 1.2820900060390596E-007, 2.4196336612899079E+000
 1.2920900060390596E-007, 2.4335881008495606E+000
 1.3020900060390596E-007, 2.4474986633205114E+000
 1.3120900060390595E-007, 2.4613656800341301E+000
 1.3220900060390595E-007, 2.4751894750771037E+000
 1.3320900060390594E-007, 2.4889703654201565E+000
 1.3420900060390594E-007, 2.5027086610445557E+000
 1.3520900060390593E-007, 2.5164046650664362E+000
 1.3620900060390593E-007, 2.5300586738589810E+000
 1.3720900060390593E-007, 2.5436709771725021E+000
 1.3820900060390592E-007, 2.5572418582524539E+000
 1.3920900060390592E-007, 2.5707715939554086E+000
 1.4020900060390591E-007, 2.5842604548630428E+000
 1.4120900060390591E-007, 2.5977087053941572E+000
 1.4220900060390590E-007, 2.6111166039147666E+000
 1.4320900060390590E-007, 2.6244844028463028E+000
 1.4420900060390590E-007, 2.6378123487719463E+000
 1.4520900060390589E-007, 2.6511006825411330E+000
 1.4620900060390589E-007, 2.6643496393722601E+000
 1.4720900060390588E-007, 2.6775594489536307E+000
 1.4820900060390588E-007, 2.6907303355426522E+000
 1.4920900060390587E-007, 2.7038625180633375E+000
 1.5020900060390587E-007, 2.7169562102021243E+000
 1.5120900060390587E-007, 2.7300116205020446E+000
 1.5220900060390586E-007, 2.7430289524552847E+000
 1.5320900060390586E-007, 2.7560084045941369E+000
 1.5420900060390585E-007, 2.7689501705804043E+000
 1.5520900060390585E-007, 2.7818544392932578E+000
 1.5620900060390584E-007, 2.7947213949155909E+000
 1.5720900060390584E-007, 2.8075512170188777E+000
 1.5820900060390584E-007, 2.8203440806465894E+000
 1.5920900060390583E-007, 2.8331001563961613E+000
 1.6020900060390583E-007, 2.8458196104995648E+000
 1.6120900060390582E-007, 2.8585026049024820E+000
 1.6220900060390582E-007, 2.8711492973421344E+000
 1.6320900060390581E-007, 2.8837598414237635E+000
 1.6420900060390581E-007, 2.8963343866958042E+000
 1.6520900060390581E-007, 2.9088730787237620E+000
 1.6620900060390580E-007, 2.9213760591628284E+000
 1.6720900060390580E-007, 2.9338434658292449E+000
 1.6820900060390579E-007, 2.9462754327704435E+000
 1.6920900060390579E-007, 2.9586720903339812E+000
 1.7020900060390578E-007, 2.9710335652352979E+000
 1.7120900060390578E-007, 2.9833599806243014E+000
 1.7220900060390578E-007, 2.9956514561508216E+000
 1.7320900060390577E-007, 3.0079081080289298E+000
 1.7420900060390577E-007, 3.0201300491001679E+000
 1.7520900060390576E-007, 3.0323173888956823E+000
 1.7620900060390576E-007, 3.0444702336972957E+000
 1.7720900060390575E-007, 3.0565886865975376E+000
