
Label=v(2) vs T
LabelX=T
LabelY=v(2)
Data Point Count=10005
T,v(2)
 0.0000000000000000E+000, 0.0000000000000000E+000
 1.0000000000000001E-009, 2.4466614993727716E-006
 2.0000000000000001E-009, 2.4685885619891264E-006
 4.0000000000000002E-009, 2.5119256105300207E-006
 8.0000000000000005E-009, 2.5984580035377236E-006
 1.6000000000000001E-008, 2.7705225718915435E-006
 2.6000000000000001E-008, 2.9835535294428487E-006
 3.6000000000000005E-008, 3.1942251445519093E-006
 4.6000000000000002E-008, 3.4024484838711561E-006
 5.5999999999999999E-008, 3.6079864945861010E-006
 6.5999999999999995E-008, 3.8107542331612796E-006
 7.5999999999999992E-008, 4.0105188976085697E-006
 8.5999999999999989E-008, 4.2072000320593510E-006
 9.5999999999999986E-008, 4.4005695764054345E-006
 1.0599999999999998E-007, 4.5905520463167391E-006
 1.1599999999999998E-007, 4.7769245998770441E-006
 1.2599999999999999E-007, 4.9596171926776852E-006
 1.3600000000000000E-007, 5.1384126610822290E-006
 1.4600000000000001E-007, 5.3132468520399312E-006
 1.5600000000000002E-007, 5.4839087226260397E-006
 1.6600000000000003E-007, 5.6503404442325001E-006
 1.7600000000000004E-007, 5.8123375180453893E-006
 1.8600000000000005E-007, 5.9698488532846447E-006
 1.9600000000000006E-007, 6.1226768982957234E-006
 2.0600000000000007E-007, 6.2707776925259144E-006
 2.1600000000000008E-007, 6.4139610129236661E-006
 2.2600000000000009E-007, 6.5521903993556498E-006
 2.3600000000000010E-007, 6.6852833160247734E-006
 2.4600000000000011E-007, 6.8132111500499608E-006
 2.5600000000000012E-007, 6.9357993876315479E-006
 2.6600000000000013E-007, 7.0530275855348163E-006
 2.7600000000000014E-007, 7.1647295617504443E-006
 2.8600000000000015E-007, 7.2708933396421050E-006
 2.9600000000000016E-007, 7.3713613528693106E-006
 3.0600000000000017E-007, 7.4661303619796926E-006
 3.1600000000000018E-007, 7.5550516733825703E-006
 3.2600000000000019E-007, 7.6381310281868056E-006
 3.3600000000000020E-007, 7.7152288350341633E-006
 3.4600000000000021E-007, 7.7863600310063283E-006
 3.5600000000000022E-007, 7.8513943281480017E-006
 3.6600000000000023E-007, 7.9103560462891166E-006
 3.7600000000000024E-007, 7.9631243731098062E-006
 3.8600000000000025E-007, 8.0097331687454370E-006
 3.9600000000000026E-007, 8.0500712392702109E-006
 4.0600000000000027E-007, 8.0841821129744936E-006
 4.1600000000000028E-007, 8.1119643271662602E-006
 4.2600000000000029E-007, 8.1334711760346019E-006
