
Label=v(2) vs T
LabelX=T
LabelY=v(2)
Data Point Count=10006
T,v(2)
 0.0000000000000000E+000, 0.0000000000000000E+000
 1.0000000000000001E-009, 1.3035397887054143E-002
 2.0000000000000001E-009, 1.9187950937060178E-002
 4.0000000000000002E-009, 2.5117477902031997E-002
 6.4711082348336628E-009, 2.5203433410289858E-002
 1.1413324704500988E-008, 2.6361553293398298E-002
 1.9686212745117860E-008, 2.8068782245001853E-002
 2.9686212745117860E-008, 3.0212512124403356E-002
 3.9686212745117861E-008, 3.2270619819405884E-002
 4.9686212745117864E-008, 3.4347447431829041E-002
 5.9686212745117861E-008, 3.6366610974936521E-002
 6.9686212745117858E-008, 3.8379305044265205E-002
 7.9686212745117855E-008, 4.0346724789406950E-002
 8.9686212745117852E-008, 4.2293619537726569E-002
 9.9686212745117849E-008, 4.4199927306094296E-002
 1.0968621274511785E-007, 4.6077253696450632E-002
 1.1968621274511784E-007, 4.7914900361139351E-002
 1.2968621274511785E-007, 4.9717956335358519E-002
 1.3968621274511786E-007, 5.1480417721372115E-002
 1.4968621274511787E-007, 5.3204159835839766E-002
 1.5968621274511788E-007, 5.4885549816839907E-002
 1.6968621274511789E-007, 5.6524896318213641E-002
 1.7968621274511790E-007, 5.8119782323091368E-002
 1.8968621274511791E-007, 5.9669772094960660E-002
 1.9968621274511792E-007, 6.1173091003306465E-002
 2.0968621274511793E-007, 6.2628970293658964E-002
 2.1968621274511794E-007, 6.4035993883766962E-002
 2.2968621274511795E-007, 6.5393266604871408E-002
 2.3968621274511796E-007, 6.6699591212071280E-002
 2.4968621274511797E-007, 6.7954050616897035E-002
 2.5968621274511798E-007, 6.9155598359007767E-002
 2.6968621274511799E-007, 7.0303348941013671E-002
 2.7968621274511800E-007, 7.1396374194045306E-002
 2.8968621274511801E-007, 7.2433848197499706E-002
 2.9968621274511802E-007, 7.3414946157193628E-002
 3.0968621274511803E-007, 7.4338916865643423E-002
 3.1968621274511805E-007, 7.5205032602186334E-002
 3.2968621274511806E-007, 7.6012625468903486E-002
 3.3968621274511807E-007, 7.6761062666671445E-002
 3.4968621274511808E-007, 7.7449764802882598E-002
 3.5968621274511809E-007, 7.8078193769549234E-002
 3.6968621274511810E-007, 7.8645862035068487E-002
 3.7968621274511811E-007, 7.9152326761672678E-002
 3.8968621274511812E-007, 7.9597194569303226E-002
 3.9968621274511813E-007, 7.9980118722942306E-002
 4.0968621274511814E-007, 8.0300801603476649E-002
 4.1968621274511815E-007, 8.0558993385976718E-002
 4.2968621274511816E-007, 8.0754493330344276E-002
 4.3968621274511817E-007, 8.0887149163887492E-002
 4.4968621274511818E-007, 8.0956857745805688E-002
 4.5968621274511819E-007, 8.0963564762135815E-002
 4.6968621274511820E-007, 8.0907265039953116E-002
 4.7968621274511815E-007, 8.0788002359481609E-002
 4.8968621274511816E-007, 8.0605869555468418E-002
 4.9968621274511817E-007, 8.0361008349350158E-002
 5.0968621274511818E-007, 8.0053609306420304E-002
 5.1968621274511819E-007, 7.9683911639928801E-002
 5.2968621274511820E-007, 7.9252203058511717E-002
 5.3968621274511822E-007, 7.8758819518590276E-002
 5.4968621274511823E-007, 7.8204144979655763E-002
 5.5968621274511824E-007, 7.7588611093656945E-002
 5.6968621274511825E-007, 7.6912696877424233E-002
 5.7968621274511826E-007, 7.6176928334002386E-002
 5.8968621274511827E-007, 7.5381878047470444E-002
 5.9968621274511828E-007, 7.4528164734409250E-002
 6.0968621274511829E-007, 7.3616452764487264E-002
 6.1968621274511830E-007, 7.2647451641976515E-002
 6.2968621274511831E-007, 7.1621915454636823E-002
 6.3968621274511832E-007, 7.0540642286153837E-002
 6.4968621274511833E-007, 6.9404473595570601E-002
 6.5968621274511834E-007, 6.8214293562092423E-002
 6.6968621274511835E-007, 6.6971028397267790E-002
 6.7968621274511836E-007, 6.5675645624017245E-002
 6.8968621274511837E-007, 6.4329153323821789E-002
 6.9968621274511838E-007, 6.2932599352136853E-002
 7.0968621274511839E-007, 6.1487070522999891E-002
 7.1968621274511840E-007, 5.9993691763214153E-002
 7.2968621274511841E-007, 5.8453625236953022E-002
 7.3968621274511842E-007, 5.6868069441324540E-002
 7.4968621274511843E-007, 5.5238258273704974E-002
