
Label=v(1) vs T
LabelX=T
LabelY=v(1)
Data Point Count=10005
T,v(1)
 0.0000000000000000E+000, 0.0000000000000000E+000
 1.0000000000000001E-009, 2.7897306578167559E-002
 2.0000000000000001E-009, 5.5794396042414200E-002
 4.0000000000000002E-009, 1.1158705518359943E-001
 6.7675225867840069E-009, 1.8878468176509561E-001
 1.2302567760352021E-008, 3.4314157465445561E-001
 2.0777291228946558E-008, 5.7930670287237263E-001
 3.0777291228946555E-008, 8.5755008987195447E-001
 4.0777291228946552E-008, 1.1351261217353115E+000
 5.0777291228946549E-008, 1.4118187856688535E+000
 6.0777291228946546E-008, 1.6874127563258603E+000
 7.0777291228946543E-008, 1.9616935633750909E+000
 8.0777291228946540E-008, 2.2344477584040106E+000
 9.0777291228946537E-008, 2.5054630810267486E+000
 1.0077729122894653E-007, 2.7745286240675227E+000
 1.1077729122894653E-007, 3.0414349976909740E+000
 1.2077729122894654E-007, 3.3059744923516980E+000
 1.3077729122894655E-007, 3.5679412404361517E+000
 1.4077729122894656E-007, 3.8271313764711463E+000
 1.5077729122894657E-007, 4.0833431957742574E+000
 1.6077729122894658E-007, 4.3363773114226758E+000
 1.7077729122894659E-007, 4.5860368094183590E+000
 1.8077729122894660E-007, 4.8321274019287221E+000
 1.9077729122894661E-007, 5.0744575784836163E+000
 2.0077729122894662E-007, 5.3128387550109304E+000
 2.1077729122894663E-007, 5.5470854205948452E+000
 2.2077729122894664E-007, 5.7770152818425080E+000
 2.3077729122894665E-007, 6.0024494047468142E+000
 2.4077729122894664E-007, 6.2232123539348603E+000
 2.5077729122894665E-007, 6.4391323291937290E+000
 2.6077729122894666E-007, 6.6500412991673432E+000
 2.7077729122894667E-007, 6.8557751321203693E+000
 2.8077729122894668E-007, 7.0561737236673743E+000
 2.9077729122894669E-007, 7.2510811213678652E+000
 3.0077729122894670E-007, 7.4403456460902309E+000
 3.1077729122894671E-007, 7.6238200100501539E+000
 3.2077729122894672E-007, 7.8013614314316237E+000
 3.3077729122894673E-007, 7.9728317455013453E+000
 3.4077729122894674E-007, 8.1380975121301020E+000
 3.5077729122894675E-007, 8.2970301196373555E+000
 3.6077729122894676E-007, 8.4495058848783131E+000
 3.7077729122894677E-007, 8.5954061494955418E+000
 3.8077729122894678E-007, 8.7346173722602281E+000
 3.9077729122894679E-007, 8.8670312174312578E+000
 4.0077729122894680E-007, 8.9925446390632953E+000
 4.1077729122894681E-007, 9.1110599611983041E+000
 4.2077729122894682E-007, 9.2224849538780838E+000
 4.3077729122894683E-007, 9.3267329049186429E+000
 4.4077729122894684E-007, 9.4237226873906224E+000
 4.5077729122894685E-007, 9.5133788227531646E+000
 4.6077729122894686E-007, 9.5956315395921727E+000
 4.7077729122894687E-007, 9.6704168279172151E+000
 4.8077729122894688E-007, 9.7376764889748042E+000
 4.9077729122894689E-007, 9.7973581805393462E+000
 5.0077729122894690E-007, 9.8494154576464297E+000
 5.1077729122894691E-007, 9.8938078087368240E+000
 5.2077729122894692E-007, 9.9305006871830432E+000
 5.3077729122894693E-007, 9.9594655381739070E+000
 5.4077729122894694E-007, 9.9806798209362171E+000
 5.5077729122894695E-007, 9.9941270262762529E+000
 5.6077729122894696E-007, 9.9997966894273969E+000
 5.7077729122894697E-007, 9.9976843981939414E+000
 5.8077729122894698E-007, 9.9877917963847107E+000
 5.9077729122894699E-007, 9.9701265825338261E+000
 6.0077729122894700E-007, 9.9447025039096246E+000
 6.1077729122894701E-007, 9.9115393458163705E+000
 6.2077729122894702E-007, 9.8706629161971229E+000
 6.3077729122894703E-007, 9.8221050255496909E+000
 6.4077729122894704E-007, 9.7659034621713552E+000
 6.5077729122894705E-007, 9.7021019627515841E+000
 6.6077729122894706E-007, 9.6307501783356528E+000
 6.7077729122894707E-007, 9.5519036356856333E+000
 6.8077729122894708E-007, 9.4656236940688565E+000
 6.9077729122894709E-007, 9.3719774975074248E+000
 7.0077729122894710E-007, 9.2710379225259931E+000
 7.1077729122894711E-007, 9.1628835214384203E+000
 7.2077729122894712E-007, 9.0475984612174862E+000
 7.3077729122894713E-007, 8.9252724579951987E+000
 7.4077729122894714E-007, 8.7960007072447013E+000
 7.5077729122894715E-007, 8.6598838096980622E+000
 7.6077729122894716E-007, 8.5170276930576740E+000
 7.7077729122894717E-007, 8.3675435295621163E+000
 7.8077729122894718E-007, 8.2115476494706527E+000
 7.9077729122894719E-007, 8.0491614505337399E+000
 8.0077729122894720E-007, 7.8805113035199046E+000
 8.1077729122894721E-007, 7.7057284538726112E+000
 8.2077729122894722E-007, 7.5249489195735677E+000
 8.3077729122894723E-007, 7.3383133852919951E+000
 8.4077729122894724E-007, 7.1459670929022518E+000
 8.5077729122894725E-007, 6.9480597284549521E+000
 8.6077729122894726E-007, 6.7447453056896078E+000
 8.7077729122894727E-007, 6.5361820461794071E+000
 8.8077729122894728E-007, 6.3225322562013799E+000
 8.9077729122894729E-007, 6.1039622004278602E+000
 9.0077729122894730E-007, 5.8806419725374113E+000
 9.1077729122894731E-007, 5.6527453628460380E+000
 9.2077729122894733E-007, 5.4204497230615933E+000
 9.3077729122894734E-007, 5.1839358282666739E+000
 9.4077729122894735E-007, 4.9433877362374377E+000
 9.5077729122894736E-007, 4.6989926442077410E+000
 9.6077729122894737E-007, 4.4509407431901735E+000
 9.7077729122894727E-007, 4.1994250699672540E+000
 9.8077729122894717E-007, 3.9446413568680256E+000
 9.9077729122894708E-007, 3.6867878794469684E+000
 1.0007772912289470E-006, 3.4260653021837273E+000
 1.0107772912289469E-006, 3.1626765223237401E+000
 1.0207772912289468E-006, 2.8968265119813386E+000
 1.0307772912289467E-006, 2.6287221586281269E+000
 1.0407772912289466E-006, 2.3585721040908245E+000
 1.0507772912289465E-006, 2.0865865821838483E+000
 1.0607772912289464E-006, 1.8129772551029888E+000
 1.0707772912289463E-006, 1.5379570487075087E+000
 1.0807772912289462E-006, 1.2617399868188397E+000
 1.0907772912289461E-006, 9.8454102466483551E-001
 1.1007772912289460E-006, 7.0657588159919249E-001
 1.1107772912289459E-006, 4.2806087322622027E-001
 1.1207772912289458E-006, 1.4921274306160204E-001
 1.1307772912289457E-006,-1.2975150613984959E-001
 1.1407772912289456E-006,-4.0861478125818002E-001
 1.1507772912289455E-006,-6.8716006775260308E-001
 1.1607772912289455E-006,-9.6517059854466070E-001
 1.1707772912289454E-006,-1.2424300227088034E+000
 1.1807772912289453E-006,-1.5187225738391130E+000
 1.1907772912289452E-006,-1.7938332379611674E+000
 1.2007772912289451E-006,-2.0675479208583085E+000
 1.2107772912289450E-006,-2.3396536146821911E+000
 1.2207772912289449E-006,-2.6099385637178862E+000
 1.2307772912289448E-006,-2.8781924291745584E+000
 1.2407772912289447E-006,-3.1442064528734868E+000
 1.2507772912289446E-006,-3.4077736197060258E+000
 1.2607772912289445E-006,-3.6686888187350970E+000
 1.2707772912289444E-006,-3.9267490028148271E+000
 1.2807772912289443E-006,-4.1817533466041272E+000
 1.2907772912289442E-006,-4.4335034028512279E+000
 1.3007772912289441E-006,-4.6818032568275756E+000
 1.3107772912289440E-006,-4.9264596787908674E+000
 1.3207772912289439E-006,-5.1672822743586249E+000
 1.3307772912289438E-006,-5.4040836326752366E+000
 1.3407772912289437E-006,-5.6366794722572031E+000
 1.3507772912289436E-006,-5.8648887844030586E+000
 1.3607772912289435E-006,-6.0885339740563786E+000
 1.3707772912289434E-006,-6.3074409980122663E+000
 1.3807772912289433E-006,-6.5214395003597119E+000
 1.3907772912289432E-006,-6.7303629450544964E+000
 1.4007772912289432E-006,-6.9340487455194175E+000
 1.4107772912289431E-006,-7.1323383911709843E+000
 1.4207772912289430E-006,-7.3250775707741491E+000
 1.4307772912289429E-006,-7.5121162925290363E+000
 1.4407772912289428E-006,-7.6933090007962619E+000
 1.4507772912289427E-006,-7.8685146893699676E+000
 1.4607772912289426E-006,-8.0375970112104316E+000
 1.4707772912289425E-006,-8.2004243845508764E+000
 1.4807772912289424E-006,-8.3568700952958821E+000
 1.4907772912289423E-006,-8.5068123956317176E+000
 1.5007772912289422E-006,-8.6501345987718636E+000
