
Label=v(1) vs T
LabelX=T
LabelY=v(1)
Data Point Count=3006
T,v(1)
 0.0000000000000000E+000, 0.0000000000000000E+000
 1.0000000000000001E-009, 2.7645980135088000E-002
 2.0000000000000001E-009, 5.5291748971485928E-002
 4.0000000000000002E-009, 1.1058180756314097E-001
 6.4721627151971051E-009, 1.7891996232527005E-001
 1.1416488145591315E-008, 3.1556800761341064E-001
 1.9731117271643255E-008, 5.4521628997063443E-001
 2.9731117271643255E-008, 8.2102172931622874E-001
 3.9731117271643256E-008, 1.0961996999429111E+000
 4.9731117271643252E-008, 1.3705398961272923E+000
 5.9731117271643249E-008, 1.6438326524180220E+000
 6.9731117271643246E-008, 1.9158691038733395E+000
 7.9731117271643243E-008, 2.1864413456868350E+000
 8.9731117271643240E-008, 2.4553425920794210E+000
 9.9731117271643237E-008, 2.7223673343360870E+000
 1.0973111727164323E-007, 2.9873114978666502E+000
 1.1973111727164323E-007, 3.2499725981704723E+000
 1.2973111727164324E-007, 3.5101498955859456E+000
 1.3973111727164325E-007, 3.7676445487064787E+000
 1.4973111727164326E-007, 4.0222597663457345E+000
 1.5973111727164327E-007, 4.2738009579359817E+000
 1.6973111727164328E-007, 4.5220758822446143E+000
 1.7973111727164329E-007, 4.7668947942951805E+000
 1.8973111727164330E-007, 5.0080705903806502E+000
 1.9973111727164331E-007, 5.2454189510580642E+000
 2.0973111727164332E-007, 5.4787584820153210E+000
 2.1973111727164333E-007, 5.7079108527024118E+000
 2.2973111727164334E-007, 5.9327009326211533E+000
 2.3973111727164333E-007, 6.1529569251692964E+000
 2.4973111727164334E-007, 6.3685104989366703E+000
 2.5973111727164335E-007, 6.5791969163530508E+000
 2.6973111727164336E-007, 6.7848551595894238E+000
 2.7973111727164337E-007, 6.9853280536164188E+000
 2.8973111727164338E-007, 7.1804623863258801E+000
 2.9973111727164339E-007, 7.3701090256237487E+000
 3.0973111727164340E-007, 7.5541230334047862E+000
 3.1973111727164341E-007, 7.7323637763220274E+000
 3.2973111727164342E-007, 7.9046950332663100E+000
 3.3973111727164343E-007, 8.0709850994737220E+000
 3.4973111727164344E-007, 8.2311068871814399E+000
 3.5973111727164345E-007, 8.3849380227549819E+000
 3.6973111727164346E-007, 8.5323609402126941E+000
 3.7973111727164347E-007, 8.6732629710759550E+000
 3.8973111727164348E-007, 8.8075364304764623E+000
 3.9973111727164349E-007, 8.9350786994547580E+000
 4.0973111727164350E-007, 9.0557923033871308E+000
 4.1973111727164351E-007, 9.1695849864809382E+000
 4.2973111727164352E-007, 9.2763697822814191E+000
 4.3973111727164353E-007, 9.3760650801361010E+000
 4.4973111727164354E-007, 9.4685946875660392E+000
 4.5973111727164355E-007, 9.5538878884961758E+000
 4.6973111727164356E-007, 9.6318794973003428E+000
 4.7973111727164352E-007, 9.7025099086196178E+000
 4.8973111727164353E-007, 9.7657251429159135E+000
 4.9973111727164354E-007, 9.8214768877260354E+000
 5.0973111727164355E-007, 9.8697225345846498E+000
 5.1973111727164356E-007, 9.9104252115879472E+000
 5.2973111727164357E-007, 9.9435538115731266E+000
 5.3973111727164358E-007, 9.9690830158921564E+000
 5.4973111727164359E-007, 9.9869933137616389E+000
 5.5973111727164360E-007, 9.9972710171739809E+000
 5.6973111727164361E-007, 9.9999082713585228E+000
 5.7973111727164362E-007, 9.9949030607845604E+000
 5.8973111727164363E-007, 9.9822592107017218E+000
 5.9973111727164364E-007, 9.9619863842165142E+000
 6.0973111727164365E-007, 9.9341000749072546E+000
 6.1973111727164366E-007, 9.8986215949830498E+000
 6.2973111727164367E-007, 9.8555780589958690E+000
 6.3973111727164368E-007, 9.8050023631181524E+000
 6.4973111727164369E-007, 9.7469331600017934E+000
 6.5973111727164370E-007, 9.6814148292377151E+000
 6.6973111727164371E-007, 9.6084974434386190E+000
 6.7973111727164372E-007, 9.5282367299708071E+000
 6.8973111727164373E-007, 9.4406940283643586E+000
 6.9973111727164374E-007, 9.3459362434341706E+000
 7.0973111727164375E-007, 9.2440357941477220E+000
 7.1973111727164376E-007, 9.1350705582786347E+000
 7.2973111727164377E-007, 9.0191238128882976E+000
 7.3973111727164378E-007, 8.8962841706810938E+000
 7.4973111727164379E-007, 8.7666455122818316E+000
 7.5973111727164380E-007, 8.6303069144871429E+000
 7.6973111727164381E-007, 8.4873725745457005E+000
 7.7973111727164382E-007, 8.3379517305251110E+000
 7.8973111727164383E-007, 8.1821585778263355E+000
 7.9973111727164384E-007, 8.0201121819094539E+000
 8.0973111727164385E-007, 7.8519363872974814E+000
 8.1973111727164386E-007, 7.6777597229277506E+000
 8.2973111727164387E-007, 7.4977153039232274E+000
 8.3973111727164388E-007, 7.3119407298588177E+000
 8.4973111727164389E-007, 7.1205779796004052E+000
 8.5973111727164390E-007, 6.9237733027970085E+000
 8.6973111727164391E-007, 6.7216771081089890E+000
 8.7973111727164392E-007, 6.5144438482576907E+000
 8.8973111727164393E-007, 6.3022319019844177E+000
 8.9973111727164394E-007, 6.0852034530089396E+000
 9.0973111727164395E-007, 5.8635243660799947E+000
 9.1973111727164396E-007, 5.6373640602125938E+000
 9.2973111727164397E-007, 5.4068953792089527E+000
 9.3973111727164398E-007, 5.1722944595619946E+000
 9.4973111727164399E-007, 4.9337405958424316E+000
 9.5973111727164390E-007, 4.6914161036722817E+000
 9.6973111727164380E-007, 4.4455061803894749E+000
 9.7973111727164371E-007, 4.1961987635101856E+000
 9.8973111727164361E-007, 3.9436843870969165E+000
 9.9973111727164351E-007, 3.6881560361421579E+000
 1.0097311172716434E-006, 3.4298089990789666E+000
 1.0197311172716433E-006, 3.1688407185310781E+000
 1.0297311172716432E-006, 2.9054506404167046E+000
 1.0397311172716431E-006, 2.6398400615212787E+000
 1.0497311172716430E-006, 2.3722119756557087E+000
 1.0597311172716429E-006, 2.1027709185176389E+000
 1.0697311172716428E-006, 1.8317228113743149E+000
 1.0797311172716427E-006, 1.5592748036865658E+000
 1.0897311172716427E-006, 1.2856351147940912E+000
 1.0997311172716426E-006, 1.0110128747830931E+000
 1.1097311172716425E-006, 7.3561796465790474E-001
 1.1197311172716424E-006, 4.5966085593868716E-001
 1.1297311172716423E-006, 1.8335244980782417E-001
 1.1397311172716422E-006,-9.3096084072015819E-002
 1.1497311172716421E-006,-3.6947346894504363E-001
 1.1597311172716420E-006,-6.4556848243136011E-001
 1.1697311172716419E-006,-9.2117011795436909E-001
 1.1797311172716418E-006,-1.1960677460033033E+000
 1.1897311172716417E-006,-1.4700512751075752E+000
 1.1997311172716416E-006,-1.7429113123998885E+000
 1.2097311172716415E-006,-2.0144393236454818E+000
 1.2197311172716414E-006,-2.2844277926151566E+000
 1.2297311172716413E-006,-2.5526703796802526E+000
 1.2397311172716412E-006,-2.8189620795084425E+000
 1.2497311172716411E-006,-3.0830993777397824E+000
 1.2597311172716410E-006,-3.3448804065232487E+000
 1.2697311172716409E-006,-3.6041050987949559E+000
 1.2797311172716408E-006,-3.8605753411801236E+000
 1.2897311172716407E-006,-4.1140951254018869E+000
 1.2997311172716406E-006,-4.3644706980813188E+000
 1.3097311172716405E-006,-4.6115107088141372E+000
 1.3197311172716405E-006,-4.8550263564108924E+000
 1.3297311172716404E-006,-5.0948315331889500E+000
 1.3397311172716403E-006,-5.3307429672059472E+000
 1.3497311172716402E-006,-5.5625803623259875E+000
 1.3597311172716401E-006,-5.7901665360116024E+000
 1.3697311172716400E-006,-6.0133275547361436E+000
 1.3797311172716399E-006,-6.2318928669130491E+000
 1.3897311172716398E-006,-6.4456954332405143E+000
 1.3997311172716397E-006,-6.6545718543618628E+000
 1.4097311172716396E-006,-6.8583624957440534E+000
 1.4197311172716395E-006,-7.0569116096789486E+000
 1.4297311172716394E-006,-7.2500674543140278E+000
 1.4397311172716393E-006,-7.4376824096216456E+000
 1.4497311172716392E-006,-7.6196130902181363E+000
 1.4597311172716391E-006,-7.7957204549465962E+000
 1.4697311172716390E-006,-7.9658699131395760E+000
 1.4797311172716389E-006,-8.1299314274804786E+000
 1.4897311172716388E-006,-8.2877796133850055E+000
 1.4997311172716387E-006,-8.4392938348267794E+000
 1.5097311172716386E-006,-8.5843582965338499E+000
 1.5197311172716385E-006,-8.7228621324856288E+000
