
Label=v(2) vs T
LabelX=T
LabelY=v(2)
Data Point Count=3006
T,v(2)
 0.0000000000000000E+000, 0.0000000000000000E+000
 1.0000000000000001E-009, 4.7102085205133412E-005
 2.0000000000000001E-009, 4.7365654842270962E-005
 4.0000000000000002E-009, 4.7732011682701189E-005
 6.4721627151971051E-009, 4.8183161395711041E-005
 1.1416488145591315E-008, 4.9079145611649707E-005
 1.9731117271643255E-008, 5.0565418848666485E-005
 2.9731117271643255E-008, 5.2315403123947861E-005
 3.9731117271643256E-008, 5.4025292783727986E-005
 4.9731117271643252E-008, 5.5694005735036055E-005
 5.9731117271643249E-008, 5.7320042114759271E-005
 6.9731117271643246E-008, 5.8902383609711250E-005
 7.9731117271643243E-008, 6.0439596671635496E-005
 8.9731117271643240E-008, 6.1930730565913102E-005
 9.9731117271643237E-008, 6.3374421754770532E-005
 1.0973111727164323E-007, 6.4769790673457442E-005
 1.1973111727164323E-007, 6.6115547277257813E-005
 1.2973111727164324E-007, 6.7410886544136463E-005
 1.3973111727164325E-007, 6.8654595181312571E-005
 1.4973111727164326E-007, 6.9845945853547171E-005
 1.5973111727164327E-007, 7.0983805045217143E-005
 1.6973111727164328E-007, 7.2067526013585363E-005
 1.7973111727164329E-007, 7.3096057802505369E-005
 1.8973111727164330E-007, 7.4068836920194669E-005
 1.9973111727164331E-007, 7.4984897500890473E-005
 2.0973111727164332E-007, 7.5843761706841046E-005
 2.1973111727164333E-007, 7.6644551034431280E-005
 2.2973111727164334E-007, 7.7386875440289889E-005
 2.3973111727164333E-007, 7.8069945788621399E-005
 2.4973111727164334E-007, 7.8693461701531824E-005
 2.5973111727164335E-007, 7.9256725144486492E-005
 2.6973111727164336E-007, 7.9759527001184669E-005
 2.7973111727164337E-007, 8.0201261794277581E-005
 2.8973111727164338E-007, 8.0581812985318653E-005
 2.9973111727164339E-007, 8.0900668828089593E-005
 3.0973111727164340E-007, 8.1157806394378947E-005
 3.1973111727164341E-007, 8.1352808557492908E-005
 3.2973111727164342E-007, 8.1485746744799266E-005
