
Label=v(2) vs T
LabelX=T
LabelY=v(2)
Data Point Count=3006
T,v(2)
 0.0000000000000000E+000, 0.0000000000000000E+000
 1.0000000000000001E-009, 4.0303934593294566E-003
 2.0000000000000001E-009, 4.6313856118348328E-003
 4.0000000000000002E-009, 4.8372050256608526E-003
 6.4721627151971051E-009, 4.7588211643015315E-003
 1.1416488145591315E-008, 4.9480521414499460E-003
 1.9731117271643255E-008, 5.0074650015135384E-003
 2.9731117271643255E-008, 5.2651360655396485E-003
 3.9731117271643256E-008, 5.3587955130073792E-003
 4.9731117271643252E-008, 5.5978325435650416E-003
 5.9731117271643249E-008, 5.6929419659814528E-003
 6.9731117271643246E-008, 5.9141719908759414E-003
 7.9731117271643243E-008, 6.0089854351020088E-003
 8.9731117271643240E-008, 6.2130918961921314E-003
 9.9731117271643237E-008, 6.3060493118729851E-003
 1.0973111727164323E-007, 6.4935951482252702E-003
 1.1973111727164323E-007, 6.5833036382766490E-003
 1.2973111727164324E-007, 6.7547515376574800E-003
 1.3973111727164325E-007, 6.8399690875233354E-003
 1.4973111727164326E-007, 6.9956992511246525E-003
 1.5973111727164327E-007, 7.0753206064778475E-003
 1.6973111727164328E-007, 7.2156463276597423E-003
 1.7973111727164329E-007, 7.2886907319664983E-003
 1.8973111727164330E-007, 7.4138720513423854E-003
 1.9973111727164331E-007, 7.4794725911986543E-003
 2.0973111727164332E-007, 7.5897282568656334E-003
 2.1973111727164333E-007, 7.6471225949124892E-003
 2.2973111727164334E-007, 7.7426405274202657E-003
 2.3973111727164333E-007, 7.7911628305324223E-003
 2.4973111727164334E-007, 7.8721092667332574E-003
 2.5973111727164335E-007, 7.9111831615733680E-003
 2.6973111727164336E-007, 7.9777106293273618E-003
 2.7973111727164337E-007, 8.0068430386971406E-003
 2.8973111727164338E-007, 8.0590972951121512E-003
 2.9973111727164339E-007, 8.0778730272089063E-003
 3.0973111727164340E-007, 8.1159990762942023E-003
 3.1973111727164341E-007, 8.1240760553347603E-003
 3.2973111727164342E-007, 8.1482233463346324E-003
 3.3973111727164343E-007, 8.1453283873279027E-003
 3.4973111727164344E-007, 8.1556552822960558E-003
 3.5973111727164345E-007, 8.1415803252949739E-003
 3.6973111727164346E-007, 8.1382579134234734E-003
 3.7973111727164347E-007, 8.1128566435894386E-003
 3.8973111727164348E-007, 8.0960719702148493E-003
 3.9973111727164349E-007, 8.0592567596731828E-003
 4.0973111727164350E-007, 8.0292155295533258E-003
 4.1973111727164351E-007, 7.9809546454896272E-003
 4.2973111727164352E-007, 7.9378834527235095E-003
 4.3973111727164353E-007, 7.8781984836065154E-003
 4.4973111727164354E-007, 7.8223466143037719E-003
 4.5973111727164355E-007, 7.7513100726538612E-003
 4.6973111727164356E-007, 7.6829509210444543E-003
 4.7973111727164352E-007, 7.6006839869126935E-003
 4.8973111727164353E-007, 7.5201161208912843E-003
 4.9973111727164354E-007, 7.4267864952744615E-003
 5.0973111727164355E-007, 7.3343344033196490E-003
 5.1973111727164356E-007, 7.2301542451850675E-003
 5.2973111727164357E-007, 7.1261687930971700E-003
 5.3973111727164358E-007, 7.0113927176191481E-003
 5.4973111727164359E-007, 6.8962513404959465E-003
 5.5973111727164360E-007, 6.7711744595656750E-003
 5.6973111727164361E-007, 6.6452811118388215E-003
 5.7973111727164362E-007, 6.5102371009694224E-003
 5.8973111727164363E-007, 6.3740219850874314E-003
 5.9973111727164364E-007, 6.2293811635282898E-003
 6.0973111727164365E-007, 6.0833002559508367E-003
 6.1973111727164366E-007, 5.9294676692184497E-003
 6.2973111727164367E-007, 5.7740020607384085E-003
 6.3973111727164368E-007, 5.6114155568812406E-003
 6.4973111727164369E-007, 5.4470706228787278E-003
 6.5973111727164370E-007, 5.2761989156553859E-003
 6.6973111727164371E-007, 5.1035033306842635E-003
 6.7973111727164372E-007, 4.9248440444966341E-003
 6.8973111727164373E-007, 4.7443486545658640E-003
 6.9973111727164374E-007, 4.5584263474474050E-003
 7.0973111727164375E-007, 4.3707029124834280E-003
 7.1973111727164376E-007, 4.1780670747435279E-003
 7.2973111727164377E-007, 3.9837068929649850E-003
 7.3973111727164378E-007, 3.7849299202337857E-003
 7.4973111727164379E-007, 3.5845423455294705E-003
 7.5973111727164380E-007, 3.3802174859679820E-003
 7.6973111727164381E-007, 3.1744283488181107E-003
 7.7973111727164382E-007, 2.9651676251510363E-003
 7.8973111727164383E-007, 2.7546175671680695E-003
 7.9973111727164384E-007, 2.5410496749878613E-003
 8.0973111727164385E-007, 2.3263924067422927E-003
 8.1973111727164386E-007, 2.1091605912324633E-003
 8.2973111727164387E-007, 1.8910610826889890E-003
 8.3973111727164388E-007, 1.6708209965193598E-003
 8.4973111727164389E-007, 1.4499536091025134E-003
 8.5973111727164390E-007, 1.2273711547844813E-003
 8.6973111727164391E-007, 1.0044177238269936E-003
 8.7973111727164392E-007, 7.8016688427923772E-004
 8.8973111727164393E-007, 5.5581476037391624E-004
 8.9973111727164394E-007, 3.3057542184391077E-004
 9.0973111727164395E-007, 1.0551547940662954E-004
 9.1973111727164396E-007,-1.2002874876578966E-004
 9.2973111727164397E-007,-3.4510412761193376E-004
 9.3973111727164398E-007,-5.7026809161506045E-004
 9.4973111727164399E-007,-7.9466704990430181E-004
 9.5973111727164390E-007,-1.0187662234546892E-003
 9.6973111727164380E-007,-1.2417994712319936E-003
 9.7973111727164371E-007,-1.4641521157588359E-003
 9.8973111727164361E-007,-1.6851349733371867E-003
 9.9973111727164351E-007,-1.9050642810017422E-003
 1.0097311172716434E-006,-2.1233187162043167E-003
 1.0197311172716433E-006,-2.3401549303066894E-003
 1.0297311172716432E-006,-2.5550115824359201E-003
 1.0397311172716431E-006,-2.7680940896885548E-003
 1.0497311172716430E-006,-2.9788942731434624E-003
 1.0597311172716429E-006,-3.1875736622488538E-003
 1.0697311172716428E-006,-3.3936713428844851E-003
 1.0797311172716427E-006,-3.5973114238606976E-003
 1.0897311172716427E-006,-3.7980751613644012E-003
