
Label=v(1) vs T
LabelX=T
LabelY=v(1)
Data Point Count=3006
T,v(1)
 0.0000000000000000E+000, 0.0000000000000000E+000
 1.0000000000000001E-009, 2.7645980135088000E-002
 2.0000000000000001E-009, 5.5291748971485928E-002
 4.0000000000000002E-009, 1.1058180756314097E-001
 6.4721627151971051E-009, 1.7891996232527005E-001
 1.1416488145591315E-008, 3.1556800761341064E-001
 1.8048739935039768E-008, 4.9876871146450513E-001
 2.8048739935039768E-008, 7.7465901136923965E-001
 3.8048739935039768E-008, 1.0499572754238848E+000
 4.8048739935039765E-008, 1.3244531059703801E+000
 5.8048739935039762E-008, 1.5979367186132709E+000
 6.8048739935039759E-008, 1.8701991025481641E+000
 7.8048739935039756E-008, 2.1410321802989647E+000
 8.8048739935039753E-008, 2.4102289667418111E+000
 9.8048739935039749E-008, 2.6775837272941794E+000
 1.0804873993503975E-007, 2.9428921351482531E+000
 1.1804873993503974E-007, 3.2059514274283991E+000
 1.2804873993503974E-007, 3.4665605601534044E+000
 1.3804873993503975E-007, 3.7245203618850375E+000
 1.4804873993503976E-007, 3.9796336859455126E+000
 1.5804873993503977E-007, 4.2317055610875309E+000
 1.6804873993503978E-007, 4.4805433405017299E+000
 1.7804873993503979E-007, 4.7259568490476829E+000
 1.8804873993503980E-007, 4.9677585285959127E+000
 1.9804873993503981E-007, 5.2057635813698457E+000
 2.0804873993503982E-007, 5.4397901111781541E+000
 2.1804873993503983E-007, 5.6696592624295592E+000
 2.2804873993503984E-007, 5.8951953568238382E+000
 2.3804873993503985E-007, 6.1162260276145748E+000
 2.4804873993503986E-007, 6.3325823513410517E+000
 2.5804873993503987E-007, 6.5440989769285887E+000
 2.6804873993503988E-007, 6.7506142520586820E+000
 2.7804873993503989E-007, 6.9519703467123515E+000
 2.8804873993503990E-007, 7.1480133737922813E+000
 2.9804873993503991E-007, 7.3385935067315735E+000
 3.0804873993503992E-007, 7.5235650939992169E+000
 3.1804873993503993E-007, 7.7027867704147894E+000
 3.2804873993503994E-007, 7.8761215651872787E+000
 3.3804873993503995E-007, 8.0434370065954912E+000
 3.4804873993503996E-007, 8.2046052232300308E+000
 3.5804873993503997E-007, 8.3595030417194618E+000
 3.6804873993503998E-007, 8.5080120808659903E+000
 3.7804873993503999E-007, 8.6500188421187119E+000
 3.8804873993504000E-007, 8.7854147963152691E+000
 3.9804873993504001E-007, 8.9140964666256437E+000
 4.0804873993504002E-007, 9.0359655076346819E+000
 4.1804873993504003E-007, 9.1509287805029320E+000
 4.2804873993504004E-007, 9.2588984241483132E+000
 4.3804873993504005E-007, 9.3597919223942601E+000
 4.4804873993504006E-007, 9.4535321670329981E+000
 4.5804873993504007E-007, 9.5400475167557630E+000
 4.6804873993504008E-007, 9.6192718519049141E+000
 4.7804873993504009E-007, 9.6911446250061175E+000
 4.8804873993504011E-007, 9.7556109070419676E+000
 4.9804873993504012E-007, 9.8126214294316689E+000
 5.0804873993504013E-007, 9.8621326216847365E+000
 5.1804873993504014E-007, 9.9041066446998816E+000
 5.2804873993504015E-007, 9.9385114196836817E+000
 5.3804873993504016E-007, 9.9653206526669145E+000
 5.4804873993504017E-007, 9.9845138545998076E+000
 5.5804873993504018E-007, 9.9960763570108710E+000
 5.6804873993504019E-007, 9.9999993232173274E+000
 5.7804873993504020E-007, 9.9962797550785805E+000
 5.8804873993504021E-007, 9.9849204952875432E+000
 5.9804873993504022E-007, 9.9659302251981128E+000
 6.0804873993504023E-007, 9.9393234581904117E+000
 6.1804873993504024E-007, 9.9051205285788839E+000
 6.2804873993504025E-007, 9.8633475760717211E+000
 6.3804873993504026E-007, 9.8140365257935098E+000
 6.4804873993504027E-007, 9.7572250638863363E+000
 6.5804873993504028E-007, 9.6929566087080197E+000
 6.6804873993504029E-007, 9.6212802776494879E+000
 6.7804873993504030E-007, 9.5422508495966323E+000
 6.8804873993504031E-007, 9.4559287230653570E+000
 6.9804873993504032E-007, 9.3623798700418046E+000
 7.0804873993504033E-007, 9.2616757855630336E+000
 7.1804873993504034E-007, 9.1538934330766839E+000
 7.2804873993504035E-007, 9.0391151856214016E+000
 7.3804873993504036E-007, 8.9174287628729445E+000
 7.4804873993504037E-007, 8.7889271641041304E+000
 7.5804873993504038E-007, 8.6537085971098087E+000
 7.6804873993504039E-007, 8.5118764031512022E+000
 7.7804873993504040E-007, 8.3635389779770133E+000
 7.8804873993504041E-007, 8.2088096889815674E+000
 7.9804873993504042E-007, 8.0478067885634026E+000
 8.0804873993504043E-007, 7.8806533237504617E+000
 8.1804873993504044E-007, 7.7074770421609653E+000
 8.2804873993504045E-007, 7.5284102943718487E+000
 8.3804873993504046E-007, 7.3435899327693877E+000
 8.4804873993504047E-007, 7.1531572069592606E+000
 8.5804873993504048E-007, 6.9572576558160613E+000
 8.6804873993504049E-007, 6.7560409962547112E+000
 8.7804873993504050E-007, 6.5496610088087648E+000
 8.8804873993504051E-007, 6.3382754201031180E+000
 8.9804873993504052E-007, 6.1220457823108854E+000
 9.0804873993504053E-007, 5.9011373496865769E+000
 9.1804873993504054E-007, 5.6757189522699640E+000
 9.2804873993504055E-007, 5.4459628668571405E+000
 9.3804873993504056E-007, 5.2120446853373661E+000
 9.4804873993504057E-007, 4.9741431804963590E+000
 9.5804873993504058E-007, 4.7324401693885854E+000
 9.6804873993504049E-007, 4.4871203743829158E+000
 9.7804873993504039E-007, 4.2383712819879324E+000
 9.8804873993504029E-007, 3.9863829995646882E+000
 9.9804873993504020E-007, 3.7313481100365244E+000
 1.0080487399350401E-006, 3.4734615247068792E+000
 1.0180487399350400E-006, 3.2129203342976380E+000
 1.0280487399350399E-006, 2.9499236583218860E+000
 1.0380487399350398E-006, 2.6846724929061123E+000
 1.0480487399350397E-006, 2.4173695571782079E+000
 1.0580487399350396E-006, 2.1482191383386899E+000
 1.0680487399350395E-006, 1.8774269355334847E+000
 1.0780487399350394E-006, 1.6051999026476258E+000
 1.0880487399350393E-006, 1.3317460901400495E+000
 1.0980487399350392E-006, 1.0572744860402969E+000
 1.1080487399350391E-006, 7.8199485622866660E-001
 1.1180487399350390E-006, 5.0611758412193875E-001
 1.1280487399350390E-006, 2.2985350988710079E-001
 1.1380487399350389E-006,-4.6586230693998233E-002
 1.1480487399350388E-006,-3.2299036758587840E-001
 1.1580487399350387E-006,-5.9914765796330349E-001
 1.1680487399350386E-006,-8.7484704765435961E-001
 1.1780487399350385E-006,-1.1498778324393157E+000
 1.1880487399350384E-006,-1.4240298190820753E+000
 1.1980487399350383E-006,-1.6970934859710818E+000
 1.2080487399350382E-006,-1.9688601432469575E+000
 1.2180487399350381E-006,-2.2391220922944295E+000
 1.2280487399350380E-006,-2.5076727844767359E+000
 1.2380487399350379E-006,-2.7743069789911514E+000
 1.2480487399350378E-006,-3.0388208997249611E+000
 1.2580487399350377E-006,-3.3010123909920819E+000
 1.2680487399350376E-006,-3.5606810720312558E+000
 1.2780487399350375E-006,-3.8176284901477278E+000
 1.2880487399350374E-006,-4.0716582723814154E+000
 1.2980487399350373E-006,-4.3225762755856465E+000
 1.3080487399350372E-006,-4.5701907348017050E+000
 1.3180487399350371E-006,-4.8143124098158889E+000
 1.3280487399350370E-006,-5.0547547297870050E+000
 1.3380487399350369E-006,-5.2913339358337765E+000
 1.3480487399350368E-006,-5.5238692214732001E+000
 1.3580487399350368E-006,-5.7521828708025620E+000
 1.3680487399350367E-006,-5.9761003943194000E+000
 1.3780487399350366E-006,-6.1954506622757322E+000
 1.3880487399350365E-006,-6.4100660354645713E+000
 1.3980487399350364E-006,-6.6197824933387528E+000
 1.4080487399350363E-006,-6.8244397593642203E+000
 1.4180487399350362E-006,-7.0238814235119351E+000
 1.4280487399350361E-006,-7.2179550617947674E+000
 1.4380487399350360E-006,-7.4065123527580674E+000
 1.4480487399350359E-006,-7.5894091908348660E+000
 1.4580487399350358E-006,-7.7665057964790387E+000
 1.4680487399350357E-006,-7.9376668229923162E+000
 1.4780487399350356E-006,-8.1027614599634816E+000
 1.4880487399350355E-006,-8.2616635332406592E+000
 1.4980487399350354E-006,-8.4142516013603892E+000
 1.5080487399350353E-006,-8.5604090483596469E+000
 1.5180487399350352E-006,-8.7000241729000205E+000
