
Label=v(7) vs T
LabelX=T
LabelY=v(7)
Data Point Count=50005
T,v(7)
 0.0000000000000000E+000, 0.0000000000000000E+000
 1.0000000000000002E-010, 1.3164769047345251E-004
 2.0000000000000003E-010, 2.6329537088504363E-004
 4.0000000000000007E-010, 5.2659066127520046E-004
 7.0073220667303433E-010, 9.2249720122995413E-004
 1.2090006039061839E-009, 1.5916184296172241E-003
 2.2090006039061837E-009, 2.9080802381549376E-003
 3.2090006039061836E-009, 4.2245198201865935E-003
 4.2090006039061835E-009, 5.5409271141423746E-003
 5.2090006039061833E-009, 6.8572920586992443E-003
 6.2090006039061832E-009, 8.1736045928578419E-003
 7.2090006039061830E-009, 9.4898546560193836E-003
 8.2090006039061829E-009, 1.0806032188062547E-002
 9.2090006039061836E-009, 1.2122127129420367E-002
 1.0209000603906184E-008, 1.3438129421157127E-002
 1.1209000603906185E-008, 1.4754029005045226E-002
 1.2209000603906186E-008, 1.6069815823642065E-002
 1.3209000603906186E-008, 1.7385479820366909E-002
 1.4209000603906187E-008, 1.8701010939577753E-002
 1.5209000603906186E-008, 2.0016399126648175E-002
 1.6209000603906185E-008, 2.1331634328044195E-002
 1.7209000603906184E-008, 2.2646706491401096E-002
 1.8209000603906183E-008, 2.3961605565600261E-002
 1.9209000603906182E-008, 2.5276321500846011E-002
 2.0209000603906181E-008, 2.6590844248742390E-002
 2.1209000603906180E-008, 2.7905163762369976E-002
 2.2209000603906179E-008, 2.9219269996362672E-002
 2.3209000603906178E-008, 3.0533152906984468E-002
 2.4209000603906177E-008, 3.1846802452206252E-002
 2.5209000603906176E-008, 3.3160208591782495E-002
 2.6209000603906175E-008, 3.4473361287328037E-002
 2.7209000603906174E-008, 3.5786250502394798E-002
 2.8209000603906173E-008, 3.7098866202548458E-002
 2.9209000603906172E-008, 3.8411198355445209E-002
 3.0209000603906171E-008, 3.9723236930908366E-002
 3.1209000603906174E-008, 4.1034971901005121E-002
 3.2209000603906176E-008, 4.2346393240123043E-002
 3.3209000603906178E-008, 4.3657490925046873E-002
 3.4209000603906181E-008, 4.4968254935034951E-002
 3.5209000603906183E-008, 4.6278675251896002E-002
 3.6209000603906185E-008, 4.7588741860065537E-002
 3.7209000603906188E-008, 4.8898444746682465E-002
 3.8209000603906190E-008, 5.0207773901665691E-002
 3.9209000603906192E-008, 5.1516719317790477E-002
 4.0209000603906195E-008, 5.2825270990765054E-002
 4.1209000603906197E-008, 5.4133418919307029E-002
 4.2209000603906199E-008, 5.5441153105219847E-002
 4.3209000603906202E-008, 5.6748463553469158E-002
 4.4209000603906204E-008, 5.8055340272259268E-002
 4.5209000603906206E-008, 5.9361773273109507E-002
 4.6209000603906209E-008, 6.0667752570930517E-002
 4.7209000603906211E-008, 6.1973268184100594E-002
 4.8209000603906213E-008, 6.3278310134542035E-002
 4.9209000603906216E-008, 6.4582868447797287E-002
 5.0209000603906218E-008, 6.5886933153105259E-002
 5.1209000603906221E-008, 6.7190494283477564E-002
 5.2209000603906223E-008, 6.8493541875774597E-002
 5.3209000603906225E-008, 6.9796065970781709E-002
 5.4209000603906228E-008, 7.1098056613285443E-002
 5.5209000603906230E-008, 7.2399503852149438E-002
 5.6209000603906232E-008, 7.3700397740390583E-002
 5.7209000603906235E-008, 7.5000728335255104E-002
 5.8209000603906237E-008, 7.6300485698294424E-002
 5.9209000603906239E-008, 7.7599659895441223E-002
 6.0209000603906242E-008, 7.8898240997085298E-002
 6.1209000603906237E-008, 8.0196219078149486E-002
 6.2209000603906233E-008, 8.1493584218165563E-002
 6.3209000603906229E-008, 8.2790326501349973E-002
 6.4209000603906224E-008, 8.4086436016679686E-002
 6.5209000603906220E-008, 8.5381902857967942E-002
 6.6209000603906216E-008, 8.6676717123939942E-002
 6.7209000603906212E-008, 8.7970868918308479E-002
 6.8209000603906207E-008, 8.9264348349849726E-002
 6.9209000603906203E-008, 9.0557145532478650E-002
 7.0209000603906199E-008, 9.1849250585324699E-002
